stage,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching_gland,immune,liver,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,13.14,0,0,0,0,0
 10-12,0,6.29,0,0,0,3.15,0,0,0,22.03,0,0,3.15,0,3.15
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,0.82,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0
