stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,182,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,134,1,0,0,0,0,0,1,0,0,45,0,0,0,0,0
 24-34,0,0,0,0,0,180.59,0,0,0,0.82,0.82,0.82,0,0,0,0,0,0,0,1.64,0,0,0,231.48,0,0,0.82,0,0,0.82,0,0,0,64.85,0,0,1.64,0,0
 36-46,0,0,1.61,0,0,714.63,0,0,0,6.45,0,0,0,0.81,0,0,0,0,0,2.42,0,0,2.42,275.54,0,0,1.61,0,0,0.81,0,0,0,59.62,0,0,0,0,0
 48-58,0,0,11.48,0.57,0,1721.99,0.57,3.44,1.15,24.67,0,0,0,0,0,1.72,0.57,0,0.57,34.43,0.57,0.57,7.46,460.77,1.72,0.57,0.57,0,0,2.3,0,0,1.72,57.38,0,0,3.44,0,5.16
 60-70,0,0,6.87,0,0,2603,0.98,0.98,1.96,28.46,0.98,0,0,0.98,0,2.94,1.96,1.96,0.98,56.93,0.98,2.94,3.93,283.66,0.98,2.94,2.94,0.98,0,6.87,0,0.98,0,30.43,0,1.96,4.91,0,4.91
 72-82,0,0.98,51.05,2.94,0,3085.36,2.94,5.89,6.87,103.07,4.91,0,2.94,5.89,2.94,3.93,2.94,1.96,0.98,90.31,0.98,6.87,1.96,330.82,1.96,2.94,3.93,0.98,0.98,7.85,0,0.98,0,16.69,0.98,0.98,8.83,4.91,6.87
 84-94,0,0,88.15,6.37,0,2033.8,5.31,12.74,9.56,124.26,4.25,1.06,1.06,5.31,1.06,3.19,1.06,2.12,1.06,76.47,4.25,3.19,10.62,271.88,0,3.19,4.25,0,0,13.81,0,3.19,2.12,18.05,1.06,5.31,7.43,7.43,2.12
 96-106,0,1.09,64.48,20.76,1.09,1869.86,4.37,16.39,1.09,99.45,3.28,0,7.65,4.37,3.28,3.28,5.46,5.46,0,77.59,3.28,3.28,12.02,221.85,4.37,7.65,1.09,0,3.28,20.76,0,5.46,0,9.84,5.46,4.37,6.56,5.46,5.46
108-118,0,0.77,26.04,6.13,0.77,1371.84,0.77,3.83,3.06,45.19,3.06,0,0,3.83,2.3,2.3,0,4.6,0.77,43.66,0,3.83,3.83,157.02,1.53,2.3,3.06,0,0.77,12.26,0,0.77,0,2.3,1.53,0.77,6.13,3.06,0.77
120,0,0,27.44,1.96,0,950.5,1.96,1.96,5.88,50.95,5.88,0,3.92,3.92,1.96,1.96,3.92,1.96,0,35.28,0,0,1.96,115.63,3.92,3.92,3.92,0,0,1.96,0,0,0,0,0,0,0,0,3.92
