stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,9.44,0,0,9.44,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,4,0,6,3,2,0,0,100,0,0,0,0,0,7,0,0,2,107,1,4,27,5,0,1,1,91,1,291,0,0
 24-34,0,0,1.64,0,2.46,0,0.82,0,0,81.26,0,0,0,0,0.82,3.28,0,0,1.64,104.25,0.82,21.34,5.75,0,0,0,0,18.88,0,177.3,0,0.82
 36-46,0,0,0,0,0.81,0,3.22,0,0,37.87,0.81,0.81,0,0,0,0,0,0,0,99.1,0,33.84,1.61,0,0,0,0,11.28,0,103.93,0,0.81
 48-58,0,0,0,0,0,0,4.59,0,0.57,23.53,0,0,0,0,1.15,2.3,0.57,0,0,55.66,0,17.21,4.59,0,1.15,0,0,2.87,0,52.79,0,0
 60-70,0,0,1.96,0,0.98,0,4.91,0.98,0,20.61,0.98,0,0.98,0,4.91,1.96,0,0,0,64.78,0,29.45,10.8,0,0.98,0,0,1.96,0,36.32,0,0
 72-82,0,0,3.93,0,0,0.98,9.82,0,0,22.58,2.94,0,0,0.98,8.83,4.91,0.98,0,0.98,45.16,0,48.1,14.72,0,0.98,0,0,0.98,0,11.78,0,0
 84-94,0,0,3.19,1.06,0,0,9.56,0,0,27.61,4.25,0,0,0,12.74,2.12,0,1.06,1.06,31.86,0,54.16,20.18,0,1.06,0,0,6.37,0,10.62,0,1.06
 96-106,0,0,2.19,1.09,0,1.09,9.84,1.09,0,9.84,3.28,0,0,0,10.93,1.09,0,0,2.19,17.49,0,54.64,21.86,0,0,0,0,4.37,0,6.56,0,2.19
108-118,0,0,4.6,1.53,2.3,0,6.13,0,0.77,9.19,1.53,0,0,0,9.96,2.3,0,0,1.53,28.34,0,46.72,11.49,0,0,0,0,3.83,0,8.43,0.77,3.83
120,0,0,0,0,0,0,5.88,0,0,7.84,0,0,0,0,5.88,1.96,0,0,1.96,23.52,0,27.44,11.76,0,0,0,0,7.84,0,3.92,0,1.96
