stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,42,0,0,0,0,0,0,0,24,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,4.1,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,4.93,0,0,2.46,329.98,0,9.85,1.64,0,0,0,0,73.88,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,50.76,0,0,0,7.25,0,0,0,1.61,0,0.81,1.61,0,0,20.14,0,0,3.22,1140.83,0,8.86,0.81,0,0,0.81,0,203.03,0,0,0.81,0,0
 48-58,0,0,0,4.59,1.15,0,234.11,0.57,0.57,0.57,28.69,0.57,0,1.15,0,0,0.57,1.72,0,1.15,48.2,1.15,0.57,6.89,1660.59,0,10.33,0.57,0,0,1.72,0.57,278.3,0,0,2.3,0.57,1.72
 60-70,0,0,0.98,10.8,0,0,497.63,0,0,1.96,28.46,0.98,0,2.94,0.98,0.98,0,0,1.96,0,109.93,0,2.94,15.7,2175.05,0.98,6.87,1.96,0,0,1.96,0.98,309.18,0.98,0.98,0,0,3.93
 72-82,0,0,2.94,14.72,5.89,0,518.32,0,0.98,2.94,54.97,1.96,0.98,0,2.94,0,0.98,0,0.98,0,171.79,1.96,2.94,9.82,1495.07,0,12.76,10.8,0,1.96,2.94,0,127.62,0,3.93,2.94,1.96,2.94
 84-94,0,0,3.19,21.24,1.06,0,279.32,0,2.12,2.12,50.98,2.12,0,2.12,1.06,0,1.06,3.19,1.06,0,101.96,0,1.06,6.37,697.76,0,7.43,10.62,0,0,3.19,0,72.22,1.06,5.31,2.12,0,1.06
 96-106,0,0,1.09,14.21,3.28,0,212.01,0,3.28,1.09,36.06,1.09,0,3.28,2.19,2.19,1.09,1.09,1.09,0,99.45,0,6.56,5.46,540.96,0,5.46,10.93,0,0,5.46,1.09,27.32,1.09,1.09,0,9.84,2.19
108-118,0,0,0.77,20.68,2.3,0.77,183.07,0,3.06,2.3,21.45,1.53,0,0,0.77,2.3,1.53,0.77,0,1.53,75.83,0,2.3,7.66,621.96,0,3.83,7.66,0,1.53,0,0,24.51,2.3,0.77,2.3,4.6,0.77
120,0,0,1.96,31.36,1.96,0,188.14,0,3.92,0,39.2,3.92,0,0,0,0,1.96,1.96,1.96,0,76.43,0,0,9.8,764.32,1.96,7.84,5.88,0,0,1.96,3.92,29.4,1.96,1.96,0,3.92,0
