stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,13.14,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.41,5.26,0,0,36.8,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,12.59,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,116.44,0,0,0,28.32,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,34,2,0,14,0,0,0,1,1,1,0,0,0,0,0,1,0,8,0,0,10,61,1,1,5,7,2,12,3,3,28,20,0,0,1,0,0
 24-34,0,0,0,0,9.03,0,0,6.57,0,0.82,0.82,0.82,1.64,0,0,0,0.82,0,0,2.46,0,7.39,0.82,0,6.57,34.48,0.82,7.39,5.75,0,5.75,0,1.64,0.82,4.1,14.78,0,0,2.46,0,0
 36-46,0,0,0,0.81,4.03,0,0,7.25,0,0,2.42,1.61,0.81,0,0,0,0,0,1.61,1.61,0.81,15.31,0,0,5.64,34.64,0,8.86,5.64,0,5.64,0,2.42,0,0,6.45,0,0,2.42,0,0.81
 48-58,0,0,0,0,3.44,0.57,0,6.31,0,0.57,0.57,2.3,0,0,0,0.57,0.57,0,0,0,0,13.2,0,0.57,1.72,26.4,0,2.3,4.59,0,2.3,0,1.15,0,0,3.44,0,0,1.15,0,0.57
 60-70,0,0,0,0,2.94,0.98,0,20.61,1.96,1.96,0,9.82,1.96,0,0,0,0,0,0,0,0,12.76,0,0.98,2.94,24.54,0,2.94,4.91,0,2.94,0,0,0,0,5.89,0,0.98,0.98,0,1.96
 72-82,0,0,0,0,11.78,2.94,0,45.16,0,0.98,1.96,15.71,1.96,0,0,0,2.94,0,1.96,0.98,0.98,16.69,0,1.96,0.98,48.1,0,8.83,6.87,0,4.91,0,0.98,0,0,5.89,0.98,0,1.96,1.96,0
 84-94,0,0,2.12,0,10.62,4.25,0,28.68,0,2.12,1.06,10.62,8.5,0,0,3.19,5.31,3.19,3.19,2.12,0,8.5,0,1.06,2.12,31.86,0,7.43,3.19,0,12.74,0,0,0,0,3.19,2.12,0,3.19,0,2.12
 96-106,0,0,2.19,0,16.39,0,0,21.86,1.09,1.09,1.09,13.11,9.84,0,0,6.56,2.19,0,1.09,0,1.09,19.67,2.19,0,3.28,27.32,0,7.65,6.56,0,4.37,0,2.19,0,0,0,3.28,0,2.19,1.09,2.19
108-118,0,0,2.3,0,10.72,2.3,0,15.32,0,0.77,2.3,12.26,9.19,0,0.77,0.77,0.77,5.36,0.77,0.77,2.3,13.79,0.77,2.3,1.53,26.81,0,9.19,5.36,0,6.89,0,0,0.77,0,1.53,0.77,0.77,0,0.77,1.53
120,0,0,0,0,9.8,0,1.96,7.84,0,0,3.92,5.88,17.64,0,0,1.96,0,3.92,3.92,0,0,5.88,0,0,0,17.64,0,1.96,1.96,0,7.84,0,0,1.96,0,7.84,0,0,0,1.96,0
