stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,3,0,0,1,0,0,0,1,0,0,0,0,2,0,1,28,0,0,0,2,0,0,4,0,0,1,2,0,0,2,0,0
 24-34,0,0,0.82,4.1,0,0,4.1,0,0,1.64,0,0,1.64,0,0,0,0,0,10.67,0,3.28,41.04,0,0,0,0,0,0.82,0,0.82,0,0.82,11.49,0,0,1.64,0,0.82
 36-46,0,0,0,0.81,0,0,10.47,0.81,1.61,4.83,0,0,0,0,0,0,0,0,8.06,0,3.22,45.12,0,0,1.61,0,0,4.03,0,0,0,0,8.06,0,0,2.42,0,0
 48-58,0,0,0,2.3,0,0,16.07,0.57,0,2.87,0,0,0.57,0,0,0,0,0,10.9,0.57,0.57,26.97,0,0.57,0,0,0,0.57,0,0.57,0,0,4.02,0,0,1.72,0,0
 60-70,0,0,0,2.94,0.98,0,18.65,0,0,3.93,0,0,2.94,0.98,0,0.98,0,0,21.59,0,0.98,20.61,0,0,0,0,0,2.94,0.98,0.98,0.98,0,7.85,0,0,1.96,0,0
 72-82,0,0,0,0.98,1.96,0,18.65,0,1.96,7.85,0.98,0,0.98,0,0,0,0,0,29.45,0,0.98,22.58,0,0.98,1.96,0,0,1.96,0,0,0,0,0,0,1.96,2.94,0,0
 84-94,0,0,0,4.25,1.06,0,15.93,0,1.06,3.19,0,1.06,2.12,0,0,1.06,0,0,16.99,0,6.37,15.93,0,0,0,0,0,9.56,0,1.06,0,0,0,0,1.06,4.25,2.12,0
 96-106,0,1.09,0,6.56,1.09,0,7.65,1.09,4.37,5.46,0,1.09,5.46,0,1.09,1.09,3.28,1.09,24.04,0,2.19,12.02,0,0,3.28,0,0,8.74,0,2.19,0,0,0,1.09,0,6.56,1.09,0
108-118,0,0,0,6.89,2.3,0.77,9.19,0,0.77,3.06,1.53,0.77,0.77,0.77,0,0,2.3,1.53,13.02,0,1.53,12.26,0,0,0.77,0,0,11.49,0,0.77,0,0,0.77,0,0,2.3,0.77,0
120,0,0,0,1.96,0,0,7.84,0,0,5.88,0,0,1.96,0,0,0,0,0,11.76,1.96,3.92,5.88,1.96,1.96,0,0,1.96,7.84,0,0,0,0,0,0,0,1.96,0,0
