stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0,2,5,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.46,0,8.21,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,15.31,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0.57,1.72,0,0,0.57,0.57,1.72,0,12.62,0,0,0,0,0,1.72,0,1.15,0
 60-70,0,0,0,7.85,0,1.96,0,0,0.98,0,11.78,0,1.96,0,0,0,2.94,0,0,0
 72-82,0,0,0,8.83,0.98,1.96,0,0.98,3.93,0,4.91,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,4.25,0,0,0,0,1.06,0,6.37,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,3.28,0,0,0,0,2.19,0,0,0,0,0,1.09,1.09,0,1.09
108-118,0,0,0,0.77,0,1.53,0,0,1.53,0,7.66,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,1.96,0,0,0,1.96,13.72,0,0,1.96,0,0,0,0,0,0
