stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,ionocyte,mesenchyme,neural,olfactory,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,4.1,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0.57,0,0,1.15,0,0,1.15,0,0,0.57,0,0.57
 60-70,0,0.98,0.98,0.98,0,0,0.98,1.96,0,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,0,0,0,0.98,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,2.19,1.09,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0,0.77,0,0,0.77,0,0,0,0,0
120,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0
