stage,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,1,0,1,3,1,0,0,0,0,3,0,28,0,0,0,0,1,1,3,14,0,0,0
 24-34,0,1.64,0,10.67,0,0,0.82,0,0.82,5.75,3.28,62.39,0.82,0.82,0.82,0,11.49,0,0,18.88,0,0,0
 36-46,0,0,0,7.25,1.61,0,0,0,0,0.81,0.81,20.95,0,0.81,0,0,2.42,0,0,4.83,0,0,0
 48-58,0,0,0,7.46,1.72,0,0,0.57,0,4.02,0.57,21.8,0,0,1.15,0,2.87,0,0,4.59,0,0,0
 60-70,0,1.96,0,16.69,2.94,0.98,0,0,0,2.94,0,12.76,0,0,0,0,0.98,0,0,1.96,0,0,0
 72-82,0,0.98,0,4.91,0.98,0.98,0,0.98,0,3.93,0,12.76,0,0,2.94,0,1.96,0,0,1.96,0.98,0,0
 84-94,0,0,0,4.25,2.12,0,0,1.06,0,1.06,0,4.25,0,0,0,0,4.25,0,0,1.06,0,1.06,0
 96-106,0,1.09,0,1.09,3.28,0,0,0,0,4.37,0,4.37,0,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0.77,0,0.77,0.77,0,0,0.77,0,0.77,0.77,2.3,0,0,0,0,2.3,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,1.96,0,3.92,0,0,0,0,0,1.96
