stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,39.53,1739.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,0,0,0,0,0
  5-6,42.91,380.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,263.57,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,28.92,0,0,0,7.89,55.2,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,9.44,15.73,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,48,0,1,0,0,0,1,0,0,0,0,5,1,0,1,2,0,0,18,0,0,23,1,592,1,2,8,3,4,0,1,0
 24-34,0,0,0,1.64,45.97,0,1.64,0,3.28,0,0.82,1.64,0.82,0,0,19.7,26.27,0,2.46,5.75,0,0,44.33,0.82,13.95,26.27,0,772.43,0,0,13.13,0,4.1,0,0.82,0.82
 36-46,0,0,0,0,10.47,0,4.03,0.81,2.42,0,0.81,0,0.81,0,0,11.28,10.47,0.81,2.42,4.03,0,0.81,33.84,0,15.31,20.14,0,727.52,0,0,4.83,0,4.83,0,0,0
 48-58,0,0,0,0,15.49,0.57,9.75,0,7.46,0,1.15,0,4.59,0,0,1.15,17.79,1.15,22.38,6.89,0,0,27.54,0,8.03,29.84,0,452.16,0,0,1.15,0,2.3,0,0.57,0.57
 60-70,0,0,0,0,27.48,0,11.78,0,12.76,0.98,0,3.93,0.98,0,0,4.91,29.45,1.96,101.1,7.85,0,0.98,14.72,0,19.63,35.33,0,344.51,0,0,2.94,0,1.96,1.96,2.94,0
 72-82,0,0,2.94,0,31.41,1.96,10.8,0.98,5.89,0,0.98,12.76,1.96,0.98,0,6.87,45.16,2.94,262.1,10.8,0,0,24.54,0,30.43,48.1,0,299.41,0,0,3.93,0,0,3.93,0,0.98
 84-94,0,0,3.19,0,64.78,1.06,15.93,0,16.99,0,7.43,18.05,2.12,0,0,22.3,72.22,1.06,194.35,16.99,1.06,0,19.12,0,49.92,66.91,0,866.62,0,0,3.19,0,1.06,10.62,1.06,0
 96-106,0,0,4.37,1.09,131.14,1.09,9.84,0,24.04,0,6.56,20.76,0,0,3.28,27.32,107.1,2.19,116.93,17.49,0,0,26.23,2.19,73.22,96.17,0,728.93,2.19,0,3.28,0,0,16.39,4.37,1.09
108-118,0,0,3.06,1.53,124.09,0.77,6.89,0,37.53,0,3.83,51.32,0,0,0,32.17,81.96,4.6,81.96,19.92,0,2.3,22.21,1.53,57.45,78.13,0,657.96,0,0,2.3,0,0,21.45,1.53,0
120,1.96,0,0,1.96,99.95,0,1.96,0,29.4,1.96,1.96,23.52,0,0,1.96,21.56,35.28,0,135.23,11.76,0,0,23.52,0,33.32,66.63,0,440.95,0,0,13.72,0,0,21.56,0,1.96
