stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,395.34,6233.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0,0,0,0
  5-6,410.69,5191.8,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.72,6.13,0,0,36.78,0,79.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,18.4,0,44.69,0,0,0,36.8,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,596.72,18.4,0,0,186.64,0,5.26,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,44.06,0,0,0,0,0,0,0,0,0,0,88.12,12.59,0,0,25.18,0,3.15,3.15,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,8,6,18,4,0,6,0,0,0,20,1,11,0,1,1,0,0,0,4,1,0,4,98,1,3,0,0,0,24,1,3,0,2,15,169,0,0,2,0,0
 24-34,0,0,11.49,3.28,8.21,1.64,0,8.21,0,1.64,0.82,34.48,0,2.46,1.64,0.82,1.64,0,0,0,5.75,5.75,0,4.1,198.65,1.64,7.39,0.82,0,0,40.22,0,0,4.93,0.82,0.82,373.49,0,0,5.75,0,0.82
 36-46,0,0,5.64,0,1.61,0,0,10.47,0,4.03,0.81,16.92,0,0,1.61,0.81,0.81,0,0,0,8.06,12.89,0,2.42,244.92,1.61,10.47,0.81,0,0,41.09,0,0,1.61,0,0,455.2,0,0,5.64,0,0.81
 48-58,0,0,3.44,0,4.02,0,0,17.21,0.57,8.03,1.72,19.51,0.57,0.57,1.15,1.15,0.57,0,0.57,0.57,8.03,10.33,0,2.87,117.63,0.57,1.15,2.3,0,0,13.2,0,0,2.87,0,0,215.18,0,0,2.3,0,1.15
 60-70,0,0,5.89,0,3.93,0,0,10.8,0.98,11.78,0.98,18.65,3.93,0,0.98,0.98,0,0,0,1.96,6.87,6.87,0.98,0.98,133.49,0,3.93,0,0,0,10.8,0,0,2.94,0,0,78.52,0.98,0,4.91,0,1.96
 72-82,0,0,22.58,0,9.82,1.96,1.96,24.54,0,12.76,2.94,18.65,25.52,0.98,5.89,2.94,0.98,0,0,0,18.65,16.69,0,4.91,171.79,0,0.98,0,0,0,11.78,0,0,0.98,0,0,40.25,3.93,1.96,6.87,0,0.98
 84-94,0,0,18.05,0,12.74,2.12,6.37,23.36,0,7.43,1.06,15.93,27.61,1.06,1.06,1.06,2.12,0,0,0,8.5,10.62,0,0,98.77,0,3.19,0,0,1.06,32.92,0,0,0,0,0,20.18,14.87,1.06,4.25,3.19,1.06
 96-106,0,0,14.21,0,10.93,1.09,2.19,20.76,0,14.21,1.09,9.84,36.06,0,3.28,2.19,1.09,0,3.28,2.19,12.02,18.58,0,0,85.24,0,6.56,1.09,0,2.19,15.3,0,0,0,0,0,8.74,12.02,2.19,7.65,1.09,1.09
108-118,0,0,6.89,0,19.15,0,9.96,16.09,0,15.32,2.3,4.6,40.6,0,0,3.83,0,0.77,0.77,1.53,9.19,9.19,0,0,77.36,0,5.36,0,0,0,16.09,0,0,2.3,0,0,6.13,15.32,1.53,3.83,0.77,1.53
120,0,0,11.76,0,17.64,0,1.96,5.88,0,5.88,0,1.96,27.44,0,0,0,3.92,0,0,0,3.92,5.88,0,1.96,107.79,0,5.88,1.96,0,0,11.76,0,0,0,0,0,19.6,1.96,0,1.96,0,0
