stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,7,0,0,0,0,0,2,1,0,300,230,5,0,0,0,0,0
 24-34,0,0,0.82,0,7.39,0.82,0,14.78,225.74,0,0,1.64,1.64,4.1,2.46,0.82,0,2.46,0.82,0.82,25.45,0,0,49.25,201.11,0.82,1.64,1.64,0,0,15.6,0,1.64,225.74,244.62,22.98,0,0,11.49,0,0.82
 36-46,0,0,0,0,3.22,0,0,29,477.76,0,0,6.45,0,2.42,0.81,0.81,0,0,0,0.81,15.31,0,0.81,24.17,183.69,1.61,3.22,0.81,0,0,9.67,0.81,0.81,202.22,24.17,38.67,0,0,4.03,0,0
 48-58,0,0,0,0,5.74,1.15,0,113.61,460.77,1.72,2.87,28.69,1.15,1.72,0.57,0,1.15,0.57,0.57,2.87,46.48,0,1.15,29.26,304.69,2.87,1.72,0,0,0,6.89,0,0,161.24,0,65.41,0,0.57,5.74,0,9.18
 60-70,0,0,0,0,5.89,0.98,0,88.34,335.68,1.96,3.93,11.78,0,0.98,0.98,2.94,0.98,0.98,0,0,37.3,2.94,0.98,27.48,171.77,0,0,0.98,0.98,0,13.74,0,0.98,104.04,0,26.5,0.98,0,0.98,0,4.91
 72-82,0,0,0,0,7.85,9.82,0,88.35,262.1,2.94,2.94,21.6,0.98,0,2.94,0,1.96,0,0.98,0,54.97,1.96,0.98,27.49,159.03,0,2.94,3.93,1.96,0,10.8,0,0,60.86,0,16.69,0,0.98,10.8,0.98,4.91
 84-94,0,0,1.06,0,10.62,13.81,1.06,74.34,395.08,1.06,3.19,13.81,2.12,1.06,3.19,1.06,4.25,1.06,4.25,1.06,47.79,3.19,2.12,22.3,127.44,0,3.19,1.06,0,0,21.24,0,0,116.82,0,11.68,2.12,1.06,8.5,2.12,4.25
 96-106,0,0,0,0,27.32,38.25,1.09,119.12,658.99,3.28,3.28,42.62,2.19,4.37,5.46,3.28,5.46,4.37,1.09,3.28,92.89,2.19,4.37,37.16,192.34,5.46,4.37,4.37,1.09,0,48.09,0,0,118.03,0,5.46,2.19,2.19,13.11,8.74,5.46
108-118,0,0,0.77,0,15.32,4.6,1.53,64.34,521.62,1.53,2.3,16.85,2.3,0.77,4.6,3.06,3.83,0.77,4.6,1.53,56.68,2.3,1.53,48.26,121.02,0.77,3.06,4.6,0,2.3,15.32,0,1.53,104.17,0,6.13,0,1.53,3.06,2.3,2.3
120,0,0,0,0,3.92,3.92,0,23.52,297.89,1.96,0,13.72,0,5.88,1.96,0,0,1.96,0,0,21.56,0,1.96,37.24,88.19,0,0,3.92,0,0,11.76,0,1.96,35.28,0,0,0,1.96,1.96,3.92,1.96
