stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1,78,0,0,0,0,0,0,0,16,0,0,0,0
 24-34,0,0,0.82,0,0,32.83,0,0,13.95,1.64,1.64,0,0,0,0,0.82,0,0,320.13,0,0,0,0.82,0,0,0,142.01,0,3.28,0,0
 36-46,0,0,0,0,0,26.59,0,0,53.17,0,3.22,0,0,0,0,3.22,0,0.81,420.56,0.81,0,0.81,0,1.61,0.81,0.81,215.92,0,4.83,0,0.81
 48-58,0,0,0,1.15,0,32.13,0,0,78.04,0,4.59,0,0,0,0.57,3.44,0,0,403.96,0,0,0,0,0,0,0,210.01,0.57,9.75,0,2.3
 60-70,0,0,0,0.98,0,29.45,0.98,0,101.1,0,8.83,0,0,0,0,6.87,0,0.98,309.18,0,0,0,0,0,0,0,131.52,0.98,6.87,0,0
 72-82,0,0,0,0.98,0,46.14,0.98,0,191.42,0,9.82,0,0.98,0,0,2.94,0,0,223.82,0,0.98,1.96,0,0.98,0,0,65.77,0.98,22.58,0.98,0
 84-94,0,0,0,0,0,54.16,1.06,0,118.95,0,2.12,0,0,0,0,14.87,1.06,0,140.19,0,0,1.06,0,1.06,1.06,0,30.8,0,16.99,0,0
 96-106,0,0,0,2.19,0,17.49,0,0,86.33,1.09,4.37,0,0,0,0,12.02,1.09,1.09,96.17,1.09,0,2.19,0,0,0,0,12.02,0,41.53,0,0
108-118,0,0,0,0.77,0.77,25.28,0,0.77,88.85,2.3,4.6,0,0,0.77,0,10.72,0,0.77,94.21,0,0,1.53,0,0,0,0,3.83,1.53,16.09,0,0
120,0,0,0,1.96,3.92,23.52,0,0,96.03,3.92,0,5.88,0,0,0,5.88,0,0,94.07,0,0,0,0,0,0,0,17.64,5.88,13.72,0,0
