stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,4,0,4,31,0,0,3,1,3,1,0,3,4,0,0,0,0,0
 24-34,0,0,0,0,7.39,0,0,0,0,0,0.82,0,0,0,0,0.82,0,1.64,32.83,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0
 36-46,0,0,0.81,0,1.61,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,23.36,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,1.72,0,0.57,0,0,0,0,0,1.15,1.72,0,8.03,0.57,0,0,0.57,0,0,0,0,2.3,0,0,0.57,0,0
 60-70,0,0,0,0,5.89,0.98,0,0.98,0,0,1.96,0,0.98,0,0,2.94,0,0.98,8.83,0,0,0,2.94,0,0.98,0.98,0,0.98,0.98,0,0,0,0.98
 72-82,0,0.98,0,0,10.8,0,0.98,0,0.98,0,2.94,0,0,0,0,1.96,1.96,0,14.72,0.98,0,0,0.98,0,0,0,0,0.98,0.98,0,0.98,0,0
 84-94,0,0,0,0,1.06,0,0,1.06,0,0,5.31,2.12,0,0,0,2.12,1.06,0,6.37,0,0,0,1.06,0,0,0,0,0,2.12,0,1.06,0,0
 96-106,0,1.09,1.09,0,2.19,0,0,0,3.28,0,12.02,0,0,2.19,0,1.09,0,0,3.28,1.09,0,0,2.19,0,0,0,0,1.09,5.46,0,0,1.09,0
108-118,0,0,0.77,0.77,3.06,0,0,0.77,5.36,0,3.06,1.53,0.77,0,0,1.53,0,0,3.83,0,0.77,0,1.53,0,0,0,0,0,3.83,0.77,0.77,0,0
120,0,0,0,0,0,0,0,1.96,1.96,0,5.88,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0
