stage,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,mesenchyme,mucous,neural,olfactory,periderm,pronephros,spinal_cord,vasculature,xanthophores
 14-21,1,0,0,0,0,0,1,0,0,12,0,1,0,6,0,0
 24-34,2.46,0,0,0,0,0,0,0.82,0,10.67,0,0.82,0,4.1,0,0
 36-46,4.83,0,0,0.81,0,0,0,0.81,0,9.67,0,0.81,0,1.61,0,0
 48-58,2.87,0,0,0.57,0.57,0,0,2.87,0.57,6.31,0.57,0,0,2.3,0.57,0
 60-70,1.96,0,0.98,1.96,0,0,0,0.98,0,4.91,0,0.98,0,0.98,0,0
 72-82,1.96,0,0,0,0,0,0,2.94,0,3.93,0,0,0.98,0.98,0,0
 84-94,2.12,0,0,0,0,0,0,2.12,0,8.5,0,2.12,0,2.12,0,0
 96-106,1.09,1.09,0,0,0,0,0,2.19,0,4.37,0,0,0,1.09,0,1.09
108-118,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0,0,0,0
120,1.96,0,0,1.96,0,1.96,0,1.96,0,1.96,0,0,0,0,3.92,0
