stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,2,0,0,0,0,0,0,17,1,0,0,0,0,0,0,4,1,0
 24-34,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0,99.32,0,2.46,0.82,0,0,0,0,8.21,4.1,0
 36-46,0,0,0,12.09,2.42,0,0,0,0,0,0,0,0,0.81,293.26,0,0.81,0,0,0,0,0,28.2,0,0
 48-58,0,0,0,33.85,5.74,0,0,0.57,0.57,0,0,4.59,0,0.57,383.88,0,0,0,0,0.57,0,0,33.28,0,0
 60-70,0,0,0,52.02,4.91,0.98,0,0,0,0,0,1.96,0,0.98,664.49,0,0.98,0,0,0,0,0,48.09,0,0
 72-82,0,0.98,0,53.01,8.83,0,0,0,0,0.98,0.98,4.91,0,0,642.99,0,0.98,0,0,0,0,0,29.45,0,0
 84-94,0,4.25,1.06,58.41,8.5,0,0,0,0,0,0,5.31,0,0,332.42,0,0,0,0,0,0,0,25.49,1.06,0
 96-106,0,2.19,0,27.32,6.56,1.09,0,0,0,0,0,2.19,1.09,0,234.96,0,0,1.09,0,0,0,0,10.93,0,0
108-118,0,1.53,1.53,16.85,8.43,0,0,0,0,0,0.77,4.6,0,0.77,251.24,0,0,0,0,0,0,0,5.36,0,0.77
120,0,0,0,29.4,1.96,0,0,0,0,0,0,1.96,0,1.96,295.93,0,0,0,0,0,1.96,0,3.92,0,0
