stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,1,2,3,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,32.01,0,0,0,0,0,0,0,5.75,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,108.77,2.42,0.81,0,0,0,0,0,16.11,0
 48-58,0,0,0.57,0,10.33,0,0.57,4.02,0.57,0.57,0,0,0,0,0.57,164.11,1.15,0.57,0,0.57,0,0,0,17.21,0
 60-70,0,0.98,0,0.98,14.72,1.96,0,2.94,0,0,0,0,0.98,0.98,0,167.84,0,3.93,0,0,0,0,0,14.72,0
 72-82,0,0,0.98,0,25.52,1.96,0,2.94,0,0,0,0,1.96,0,0,156.08,4.91,0.98,0,0,0.98,0,0,11.78,0
 84-94,0,0,0,0,16.99,0,1.06,4.25,0,0,0,1.06,2.12,0,0,52.04,0,2.12,0,0,0,0,0,6.37,0
 96-106,0,0,0,0,8.74,0,0,1.09,0,1.09,0,1.09,1.09,0,0,33.88,3.28,3.28,0,1.09,0,0,0,2.19,0
108-118,0,0,0,0,7.66,0,0,2.3,0,0.77,0.77,0,0.77,0,0,44.43,1.53,0.77,0,0,0,0,0,1.53,0.77
120,0,0,1.96,0,3.92,0,0,1.96,0,0,0,0,1.96,0,1.96,45.08,0,1.96,0,0,0,0,0,3.92,0
