stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,24.52,1133.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.85,0,0,0,61.3,73.56,0,0,0,0,0,0,0
  7-9,21.03,44.69,60.46,0,0,36.8,0,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,1487.85,47.32,0,0,896.39,18.4,0,0,0,0,0,0,0
 10-12,0,53.5,50.35,0,6.29,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1626.98,6.29,0,0,874.86,12.59,9.44,84.97,0,15.73,3.15,0,0
 14-21,0,0,5,295,23,10,1,0,3,2,2,0,0,8,0,0,1,26,0,0,28,506,3,4,22,33,131,188,6,26,226,212,0,1
 24-34,0,0,0,36.94,3.28,10.67,0,0.82,9.03,0,0,0,0,5.75,0,2.46,1.64,13.95,1.64,0,9.03,383.34,0.82,13.95,0.82,0,115.74,1.64,0,11.49,40.22,87.83,12.31,4.1
 36-46,0,0,0,9.67,0,12.89,0,0,12.89,0,0,0.81,0,1.61,0.81,0.81,0.81,17.72,0,0,4.83,277.96,0,0.81,0,0,29,0,1.61,0.81,0,91.04,10.47,1.61
 48-58,0,0,0,0.57,0,8.61,0.57,1.15,5.74,0,0,0.57,0,0,0,0,0.57,3.44,0,0,0.57,54.51,0,0,0,0,4.02,0,0,0,0,19.51,9.18,2.3
 60-70,0,0,0,0.98,0,3.93,0.98,0,1.96,0,0,0,0.98,0,0.98,0,0,5.89,0,0,0,23.56,0.98,0,0,0,2.94,0,0,0,0,0.98,2.94,0
 72-82,0,0,0,0.98,0,2.94,0.98,0,3.93,0,0,2.94,0,0.98,0,0,0,7.85,0,0,0.98,17.67,0,0.98,0.98,0,0.98,0,0,0,0,1.96,5.89,1.96
 84-94,0,0,0,2.12,0,6.37,1.06,1.06,4.25,1.06,0,0,1.06,1.06,0,0,0,6.37,0,0,1.06,9.56,0,0,0,0,8.5,0,0,1.06,0,2.12,9.56,1.06
 96-106,0,0,0,0,0,2.19,0,0,3.28,0,0,1.09,1.09,0,0,0,0,7.65,0,2.19,0,18.58,0,3.28,0,0,8.74,0,0,0,0,1.09,8.74,1.09
108-118,0,0,0,0.77,0,3.83,0.77,0,3.06,0,0,0,0.77,0,0.77,0,0,3.06,0,0,0.77,5.36,0,0,0,0,4.6,0,0,0,0,0,5.36,0.77
120,0,0,0,1.96,1.96,1.96,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,9.8,0,0,0,0,5.88,0,0,0,0,0,9.8,0
