stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,1238.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,18.39,563.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.38,0,0,44.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,119.58,0,0,22.03,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,2,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,73,0,1,0,1,1,0,1,60,0,0,0,0,1
 24-34,0,0,0.82,0.82,1.64,0,0.82,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,210.96,1.64,0.82,0,0,0,0,0.82,77.16,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,5.64,0,0,0,0.81,0,0,0,0,1.61,0,0.81,0,0.81,0.81,0,0,0,460.04,1.61,0.81,0,0,0,0.81,0,94.26,0,0,0,0,0.81
 48-58,0,0,0,0,2.3,0,48.2,0,0,0.57,9.18,0,0.57,0,0,1.15,0,1.72,0,0.57,5.16,0,0,0.57,512.98,1.15,1.15,0,0.57,0,0.57,0,99.27,0,0,1.15,0,1.72
 60-70,0,0,0,0,0,0,111.89,0,0.98,0,4.91,0,0.98,0,0,0.98,0,0.98,0,0,6.87,0.98,0.98,0,518.24,0,0,0,2.94,0,0,0,83.43,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,1.96,122.71,0,0,0.98,8.83,0,0,0,0,0.98,0.98,6.87,0,0.98,15.71,0,1.96,0,498.68,0.98,0.98,0,3.93,0,0,0,44.17,0,3.93,0.98,3.93,0.98
 84-94,0,0,0,0,4.25,1.06,78.59,0,0,0,9.56,4.25,0,1.06,0,0,0,8.5,0,1.06,7.43,0,1.06,1.06,200.73,0,2.12,0,1.06,0,0,0,19.12,1.06,2.12,1.06,2.12,0
 96-106,0,0,0,0,1.09,0,53.55,1.09,0,0,10.93,1.09,0,1.09,0,3.28,0,4.37,0,0,9.84,1.09,0,0,165.02,1.09,3.28,0,5.46,0,0,0,9.84,1.09,1.09,1.09,1.09,2.19
108-118,0,0,0,0,2.3,0,32.17,0,0,0.77,5.36,1.53,0,0,0,1.53,0,3.83,0.77,0,7.66,0,0,0,252.77,5.36,2.3,0,2.3,0,0.77,0,9.19,0,0.77,0,2.3,1.53
120,0,0,0,0,5.88,1.96,41.16,0,0,0,7.84,1.96,0,0,1.96,0,0,3.92,0,0,1.96,0,0,0,211.66,0,5.88,0,1.96,0,0,0,3.92,0,1.96,0,0,0
