stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,9.44,0,0,12.59,0,3.15,6.29,0,3.15,0,0,0,0
 14-21,0,0,0,6,3,2,0,0,0,2,0,1,0,0,1,0,0,0,0,9,0,0,5,31,4,0,2,3,2,14,0,3,6,23,0,0,0
 24-34,0,0,0,2.46,0.82,3.28,0.82,0.82,0,0.82,0.82,0,0.82,0,0,0,0,0,0,9.03,0,0,9.03,23.8,4.1,0,0,0,4.1,0,0.82,0,3.28,13.13,0,0,0
 36-46,0,0,0,1.61,0,5.64,0.81,0,0,2.42,0,0,0.81,0,0,0,0,0.81,0,6.45,0,0,4.83,18.53,3.22,0,0,0,1.61,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,1.15,0.57,10.33,1.72,0,0.57,4.59,0,0,0,0,0,0,0.57,0,0,6.31,0,0.57,3.44,8.03,1.72,0,0,0,0.57,0,0,0,0,5.16,0,0.57,0
 60-70,0,0,0,0,0,13.74,7.85,0,0,5.89,0,0,0,0,0,0,0,0,0,14.72,0,0.98,1.96,5.89,2.94,0,0.98,0,3.93,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,33.38,3.93,0,0,9.82,0,0,0,0,0,0,0,0.98,0,17.67,0,0.98,0.98,3.93,0,0.98,0.98,0,2.94,0,0,0,0,0.98,0.98,0,0
 84-94,0,0,0,1.06,1.06,60.54,1.06,0,1.06,4.25,0,0,0,0,0,0,0,1.06,1.06,10.62,0,0,3.19,6.37,1.06,0,3.19,0,3.19,0,0,0,0,1.06,1.06,0,2.12
 96-106,0,0,0,1.09,0,59.01,10.93,0,0,6.56,0,0,0,1.09,0,0,1.09,0,0,10.93,1.09,0,0,12.02,0,1.09,0,0,5.46,0,0,0,0,0,0,1.09,2.19
108-118,0,0,0,0.77,0,58.98,3.83,0,0.77,1.53,0,0,0,0,0,0.77,0,0.77,0,9.19,0,0.77,2.3,6.13,0.77,0,0.77,0,5.36,0,0,0.77,0,0,0,0.77,0.77
120,0,0,0,1.96,0,29.4,5.88,1.96,1.96,5.88,0,0,0,0,0,0,0,0,0,1.96,0,0,3.92,3.92,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0,1.96
