stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.83,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582.32,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,18.4,0,78.86,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,15.73,0,25.18,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,22,69,3,0,1,0,0,0,1,16,1,0,34,0,0,0,0,3,10,0,4,27,0,21,11,1,0,287,1,41,2,23,0,0,0,0
 24-34,0,0,2.46,21.34,38.58,0.82,0,3.28,0,0.82,0.82,0,8.21,1.64,1.64,97.68,0,8.21,2.46,0,5.75,37.76,0,0,88.65,0.82,87.01,7.39,0,0,362,0,13.13,0.82,16.42,0,0.82,0,0.82
 36-46,0,0,0,4.03,16.11,0,0,0.81,0,1.61,0,4.83,16.11,0.81,1.61,33.84,0.81,3.22,4.83,0,3.22,27.39,0,1.61,73.32,0,56.4,0.81,0,0,285.21,0,12.09,0,6.45,0,0,0,4.83
 48-58,0,0,0.57,1.15,10.9,0,0,6.31,0,3.44,0,14.92,15.49,2.3,1.72,18.94,4.02,5.74,1.72,0,8.61,22.95,0,0.57,60.25,0,43.61,2.87,0,0,241.57,0,2.87,0,4.59,0,0.57,0,6.31
 60-70,0,0,2.94,0,33.37,0.98,0,4.91,0,3.93,0,52.02,51.04,3.93,4.91,25.52,22.58,3.93,10.8,0,6.87,22.58,0,0.98,61.84,0.98,49.08,3.93,0,0,265.99,0,6.87,0,8.83,4.91,1.96,0,1.96
 72-82,0,0,24.54,0.98,56.94,0,0,12.76,0.98,2.94,0.98,163.94,215.97,2.94,12.76,53.01,20.61,6.87,11.78,0,25.52,42.21,0,0.98,89.33,0,87.37,11.78,0,0,188.48,0,4.91,0,0.98,13.74,4.91,0.98,2.94
 84-94,0,0,24.43,7.43,111.51,0,0,14.87,1.06,10.62,1.06,117.89,385.52,4.25,15.93,82.84,14.87,21.24,35.05,1.06,23.36,50.98,3.19,0,73.28,0,95.58,6.37,0,0,465.17,0,18.05,0,1.06,72.22,0,0,6.37
 96-106,0,0,27.32,14.21,150.81,4.37,2.19,28.41,1.09,9.84,0,153,525.66,0,31.69,130.05,3.28,10.93,34.97,0,24.04,49.18,0,1.09,115.84,0,151.91,10.93,0,0,453.53,1.09,8.74,0,4.37,108.19,2.19,2.19,2.19
108-118,0,0,16.85,14.55,127.92,1.53,0,9.19,0,16.09,0.77,122.55,481.79,0,25.28,102.64,7.66,12.26,36,0.77,21.45,34.47,0,0.77,75.83,0,75.83,12.26,0,0.77,335.49,0,13.79,0,1.53,117.19,0.77,0,3.83
120,0,0,9.8,5.88,101.91,0,0,5.88,1.96,15.68,0,111.71,321.4,0,13.72,60.75,5.88,3.92,33.32,0,5.88,29.4,0,1.96,64.67,0,72.51,17.64,0,1.96,321.4,0,9.8,0,1.96,37.24,1.96,0,1.96
