stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,hatching_gland,immune,iridophores,liver,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,2.63,0,10.51,0,0,0,10.51,0,0,0,0,102.52,18.4,0,23.66,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,2.46,0,1.64,0,0,0,3.28,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,1.15,4.02,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,9.82,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,0,0,0.98,0,0,0,0.98,0,8.83,0,0,0,0.98,0,0.98,0.98,0
 84-94,0,0,0,0,0,0,0,2.12,0,1.06,0,0,0,6.37,0,0,0,1.06,0,1.06,9.56,0
 96-106,0,0,0,0,1.09,0,1.09,2.19,0,0,1.09,0,0,10.93,0,0,0,0,0,0,37.16,0
108-118,0,0,0,0.77,0.77,0,0,2.3,0,0,0.77,0,0,18.38,0,0,0,1.53,0,0,44.43,0.77
120,0,0,0,1.96,0,0,0,5.88,0,0,0,0,0,11.76,0,0,0,0,0,1.96,19.6,0
