stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,2,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,6,22,0,0,0,0,0,1,0,1,0,0,1,8,0,0,0,0,0
 24-34,0,0,0,0,3.28,0,7.39,0,0,0.82,0,0,0,0,0,0,0,0,81.26,0,0,6.57,43.51,0.82,0.82,0,0,0,3.28,0,0,0,0.82,1.64,11.49,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.03,0,0,0,0,0,1.61,0,0,0,0,0.81,167.58,0,0.81,26.59,22.56,0,0,0,0,0,1.61,0.81,0,0,0,0,3.22,0,0,0.81,0,0.81
 48-58,0,0,0,0,1.15,0,5.74,0,0,0,1.72,0,0,0,0,0,0.57,0,182.47,0,0,20.08,12.05,0,0,0,0,0,3.44,0,0,0,0,0,4.02,0,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,6.87,0,0,0,1.96,0,0.98,0,0,0,0,0,173.73,0,0,15.7,17.67,0,0,0.98,0,1.96,1.96,0,0,0,0,0,1.96,0,0.98,0.98,0,1.96
 72-82,0,0,1.96,0,0,0,13.74,0,0,1.96,4.91,0.98,0,0.98,0,0,0,0,240.51,0,0.98,19.63,23.56,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0.98,1.96
 84-94,0,0,1.06,0,2.12,0,10.62,2.12,0,0,0,2.12,0,0,1.06,0,0,0,184.79,0,1.06,11.68,6.37,0,0,0,0,2.12,1.06,0,0,0,0,0,3.19,0,4.25,0,0,5.31
 96-106,0,0,0,0,3.28,3.28,15.3,0,2.19,1.09,1.09,0,0,1.09,0,0,2.19,0,199.99,1.09,0,8.74,15.3,0,0,1.09,0,1.09,5.46,0,0,1.09,1.09,0,2.19,1.09,4.37,0,0,0
108-118,0,0,1.53,0,0,0,6.13,0,0,0.77,0,0.77,1.53,0,0.77,0.77,1.53,0,150.13,0,0,6.89,15.32,0,0,0,0,0,5.36,0,0,0,0,0,0.77,0,2.3,0.77,0,1.53
120,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,1.96,0,152.86,0,0,13.72,13.72,0,0,1.96,0,0,3.92,0,0,0,0,0,1.96,0,0,5.88,1.96,0
