stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,xanthophores
 14-21,0,5,0,2,0,0,1,0,1,0,2,0,33,1,0,0,1,4,1,10,0
 24-34,0,1.64,0,0,0,0,0,0,0,0,3.28,0,10.67,0,0,0,0,0,0,1.64,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,3.22,0.81,12.09,0,0,0,1.61,0,0,4.83,0
 48-58,0,0,0,1.72,0,0,0.57,0,0,0,1.15,0,7.46,0,0.57,0,1.15,0,0,2.87,0
 60-70,0,0.98,0.98,2.94,0.98,0,0,0.98,0,0,3.93,0,8.83,0,0,0,0.98,0,0,2.94,0
 72-82,0,0,0,2.94,0,0,0,0,0,0,4.91,0,5.89,0,0,0,0.98,0,0,0,0.98
 84-94,1.06,0,0,1.06,0,1.06,0,0,0,0,3.19,1.06,3.19,1.06,0,0,4.25,0,0,2.12,0
 96-106,0,2.19,0,2.19,1.09,0,1.09,0,1.09,1.09,5.46,0,1.09,0,1.09,1.09,3.28,0,0,1.09,0
108-118,0,0.77,0.77,2.3,0,0.77,0,0,0,0,1.53,0,4.6,0,0,0,1.53,0,0,0,0
120,0,1.96,0,0,0,0,0,0,0,0,0,1.96,5.88,0,0,0,3.92,0,0,0,0
