stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,15.77,0,0,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,65.72,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,12.59,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,47.2,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,2,1,1,0,1,0,74,0,0,0,0,0,0,0,0,9,0,0,1,68,1,4,4,4,0,0,0,39,3,150,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,4.93,0,0.82,0,83.73,0,0,0,0,0,0,0.82,0,4.1,0,0,2.46,84.55,1.64,20.52,0.82,0,0,0.82,0,16.42,1.64,173.2,0,0,11.49,0,0.82
 36-46,0,0,0,0,2.42,0,13.7,0.81,0,0,33.84,0,0,0.81,0,0,0,0,0,1.61,0,0,1.61,81.37,0,29.81,0,0,0,0,0,3.22,0,102.32,0,0,5.64,0,0
 48-58,0,0,0,0,0,0,21.8,0,0,0,17.79,0,0,0,0.57,0,0,0,0,5.16,0,0,0.57,41.89,1.15,10.33,0.57,0,0,0,0,2.3,0,50.49,0,0.57,2.3,0,0
 60-70,0,0,0,0,0.98,0,12.76,0,0,1.96,20.61,0,0,0,0,0,0.98,0,0,5.89,0.98,0,0.98,38.28,0,12.76,0,0,0,1.96,0,0,0,12.76,0,0,2.94,0,0
 72-82,0,0,0,0,0,0,25.52,0,0,0,28.47,0,0,0,0,0.98,0.98,0.98,0,6.87,0,0,0.98,40.25,0,30.43,0,0,0,0,0,1.96,0,18.65,0,0,7.85,0,1.96
 84-94,0,0,0,1.06,2.12,0,11.68,0,1.06,0,19.12,0,0,0,0,0,2.12,0,0,5.31,0,1.06,1.06,20.18,0,27.61,2.12,0,1.06,0,0,3.19,0,9.56,0,0,10.62,1.06,1.06
 96-106,0,0,0,0,1.09,1.09,9.84,0,0,0,20.76,1.09,0,0,3.28,1.09,2.19,0,0,7.65,0,1.09,1.09,22.95,0,40.44,7.65,0,0,3.28,0,3.28,0,17.49,1.09,1.09,10.93,0,1.09
108-118,0,0,0.77,0.77,3.83,0.77,9.96,0,0.77,0.77,16.85,0,0,0,0,0.77,2.3,1.53,0.77,6.89,0.77,1.53,0,20.68,0,25.28,1.53,0,0,0,0,2.3,0,9.19,0,1.53,6.13,0.77,0
120,0,0,0,0,1.96,1.96,5.88,0,1.96,0,7.84,0,0,0,0,0,7.84,0,0,3.92,0,0,1.96,13.72,0,17.64,1.96,0,0,0,0,0,0,5.88,0,1.96,0,0,0
