stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.64,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.14,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,59,0,0,0,0,0,0,0,0,99,0,0,1,13,1,13,0,1,0,0,14,1,0,0,0,0,0,0,0
 24-34,0,0,0,22.98,0,0.82,0,0.82,0,0,0,0,112.46,0,1.64,3.28,25.45,0.82,24.63,0.82,0.82,0,0,2.46,0,0,0.82,1.64,0,0,0,0
 36-46,0,0,0,8.86,0,3.22,0,0.81,0,0,0,0,35.45,0,0,0,4.83,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,9.18,0,0.57,0,1.72,1.15,0,0,0,22.95,0,0.57,1.15,4.02,0,6.89,0,0.57,0,0,0,0,0,0,1.72,0,0.57,0,0
 60-70,0,0,0,10.8,0,1.96,0,1.96,0,0,0,0.98,24.54,0,0.98,1.96,1.96,0,3.93,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0.98
 72-82,0,0,0,14.72,0.98,5.89,0,0,1.96,0.98,0,0,51.05,0,1.96,0.98,1.96,0,12.76,0,0.98,0,0,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,27.61,0,5.31,0,5.31,1.06,1.06,0,1.06,104.08,0,4.25,2.12,2.12,0,4.25,0,4.25,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,41.53,0,8.74,0,3.28,1.09,1.09,1.09,0,69.94,0,9.84,3.28,3.28,0,5.46,1.09,3.28,0,0,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0,0,41.36,0,2.3,0,0,0.77,0.77,0,0.77,83.49,0.77,8.43,0.77,3.06,0,5.36,0,5.36,0,0,3.83,0,0.77,0,0,2.3,0,0.77,0
120,0,0,0,21.56,1.96,0,3.92,0,1.96,1.96,0,1.96,41.16,0,0,5.88,1.96,0,7.84,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0
