stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,2,1,54,0,0,0,0,0
 24-34,0,6.57,0.82,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,230.66,0,0,0,0,0,0,0,135.44,0,0,2.46,0,0
 36-46,0,5.64,0.81,0,0,21.75,0,0,0.81,0.81,0.81,0,0,0.81,0.81,0.81,0,0,0,515.63,0,0,0,0,0.81,0,0,197.39,0,0,0.81,0,0.81
 48-58,0,7.46,1.72,0,0,48.77,0.57,0.57,1.15,3.44,0,0,0,0.57,0,10.9,0,0.57,0.57,646.68,0,0.57,0,0,2.3,0,0,254.2,0,0,0,0,0.57
 60-70,0,2.94,0,0,0,74.6,0.98,0,0,3.93,0,0,0.98,0.98,0.98,3.93,0,0,0,431.87,0,0,0,0,0.98,0,0,212.01,0,0,1.96,0,0
 72-82,0,9.82,5.89,1.96,0,107.98,0,0,0,3.93,0,0,0.98,0.98,0,11.78,0.98,0,0.98,358.31,0,0,0.98,0,0,0,0,87.37,0,0,1.96,0.98,0
 84-94,0,6.37,2.12,0,0,65.85,0,1.06,1.06,10.62,1.06,0,1.06,0,0,5.31,0,0,1.06,177.36,0,0,0,0,2.12,0,0,48.85,0,1.06,1.06,0,0
 96-106,0,4.37,3.28,0,0,37.16,0,0,0,6.56,0,0,0,0,0,5.46,0,0,0,109.28,0,0,0,0,0,0,0,18.58,1.09,0,0,1.09,0
108-118,0,7.66,3.06,1.53,0.77,22.98,0,0,0,3.06,0,0,0.77,0,0,2.3,0,0,0.77,131.75,0,0,0,0,0.77,0,0.77,9.96,0,0,0,0.77,0
120,0,3.92,3.92,0,0,29.4,0,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,139.14,0,0,1.96,0,0,0,0,9.8,0,0,0,0,0
