stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.2,0,0,0,147.91,0,0,3.15,9.44,0,3.15,3.15,0,0,0,0,0
 14-21,0,3,15,2,0,18,0,0,0,10,0,0,0,0,0,0,0,23,0,0,23,147,1,0,0,2,0,4,61,0,1,71,111,0,0,0,0,0
 24-34,0,0.82,5.75,0,0,7.39,0,0,0,15.6,0.82,0,0,0,0,0.82,0,27.09,0.82,0.82,20.52,259.39,4.1,0,1.64,0,0.82,15.6,0,0,2.46,1.64,183.05,0,0,1.64,0,0.82
 36-46,0,0,4.03,0.81,0,7.25,0,0,0,12.89,0,0.81,0,0,0.81,0.81,0.81,43.51,0,1.61,11.28,331.94,1.61,0.81,1.61,0,0,3.22,0,0,0,0,219.95,0,0.81,1.61,0,0.81
 48-58,0,0,1.15,0,0,10.33,0.57,0,0.57,20.66,0,0,0,0,0,0,0,31.56,0.57,1.72,4.02,157.22,4.02,0,1.72,0,0,5.16,0,0,0.57,0,86.07,0,0,0,0,0
 60-70,0,0,2.94,0.98,0,5.89,0,0,0,22.58,0,0.98,0.98,0.98,0,0.98,0,31.41,0,0.98,1.96,203.18,0.98,0,0,0,0,0.98,0,0,0,0,74.6,0,1.96,1.96,0,0
 72-82,0,0,3.93,0,0,14.72,0.98,0.98,0,66.75,2.94,1.96,0,0,2.94,0.98,0,61.84,0,3.93,4.91,145.29,0.98,0.98,4.91,0,0,7.85,0,0,0,0,39.27,0,1.96,1.96,5.89,0
 84-94,0,0,6.37,0,0,19.12,0,0,0,30.8,5.31,0,0,0,2.12,2.12,0,38.23,0,4.25,2.12,76.47,1.06,0,4.25,0,0,14.87,0,0,0,0,20.18,0,2.12,3.19,2.12,0
 96-106,0,0,7.65,2.19,0,12.02,0,0,0,33.88,2.19,0,1.09,0,0,0,0,39.34,0,1.09,4.37,76.5,0,1.09,8.74,0,1.09,13.11,0,0,0,0,16.39,0,4.37,1.09,3.28,0
108-118,0,0.77,8.43,0.77,0.77,8.43,0,0,0.77,26.81,0,0,0,0,0.77,0,0,22.21,0,2.3,3.06,96.51,0,0,6.89,0,0,6.13,0,0,0,0,6.89,1.53,1.53,1.53,0.77,0
120,0,0,7.84,0,0,5.88,0,0,0,17.64,0,0,0,0,0,0,0,23.52,0,1.96,3.92,62.71,0,0,3.92,0,0,7.84,0,0,0,0,9.8,0,1.96,5.88,0,0
