stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,12.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0.98,145.27,0,0.98,0,0,0,0,0,2.94,0,0,0,5.89,0,0,0,0,0,0,0,0
 72-82,3.93,0.98,319.04,0,0,0,2.94,0,0,0,1.96,0,0,0,20.61,0.98,0,0.98,0,2.94,0,0,0.98
 84-94,5.31,1.06,307.99,1.06,0,0,1.06,0,0,1.06,2.12,0,2.12,0,6.37,0,0,0,0,1.06,0,0,0
 96-106,6.56,1.09,314.74,3.28,0,0,1.09,0,0,0,3.28,0,0,1.09,7.65,0,0,0,1.09,1.09,0,1.09,0
108-118,3.06,0,204.51,0,0,0.77,1.53,0.77,0,0,5.36,0,1.53,0,13.02,0,1.53,0.77,0,0,0.77,0,0.77
120,7.84,0,225.38,0,0,0,0,0,1.96,0,1.96,1.96,0,0,9.8,0,1.96,1.96,0,0,0,0,1.96
