stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,31,356,72,0,57,0,0,0,45,6,0,2,0,1,0,0,1,0,214,0,0,197,1658,59,0,5,1,0,7,0,27,2,0,193,542,0,0,7,0,0
 24-34,0,1.64,9.03,227.38,5.75,0,96.04,0,1.64,1.64,74.7,1.64,0,4.1,0,0,3.28,14.78,4.1,0,273.35,2.46,1.64,183.05,3725.04,15.6,15.6,7.39,0,1.64,64.03,0,0.82,1.64,1.64,12.31,966.97,0,0,39.4,0,0
 36-46,0,0.81,0,52.37,0.81,0,101.51,3.22,4.03,4.83,105.54,2.42,0,5.64,0.81,0.81,0,10.47,1.61,0.81,321.46,0,8.86,86.21,4269.24,8.06,9.67,8.06,0,2.42,45.92,0,0.81,0,0.81,0,1169.03,0,2.42,22.56,0,1.61
 48-58,0,0,0.57,72.3,0.57,0,475.68,1.72,8.61,8.03,224.93,2.3,1.72,5.16,2.3,0.57,0,9.18,2.3,2.3,475.11,0.57,18.94,77.46,4562.9,5.16,7.46,7.46,0,3.44,32.71,0,0,2.3,1.72,0,1165.97,0,1.72,33.28,0.57,10.9
 60-70,0,0,0,86.37,5.89,0,781.29,11.78,11.78,3.93,209.06,2.94,0.98,7.85,2.94,1.96,0.98,11.78,0.98,4.91,573.21,0,38.28,48.09,3995.78,7.85,2.94,12.76,0,3.93,31.41,0,0,1.96,0.98,0,809.76,1.96,16.69,43.19,4.91,5.89
 72-82,0,1.96,0,122.71,14.72,0,898.22,4.91,11.78,13.74,291.55,14.72,0,4.91,3.93,2.94,5.89,13.74,1.96,1.96,733.3,4.91,57.92,76.57,2905.72,2.94,4.91,12.76,0,2.94,14.72,0.98,0,0.98,0.98,0,366.16,6.87,37.3,85.4,35.34,6.87
 84-94,0,3.19,0,219.84,4.25,0,695.63,12.74,19.12,10.62,161.43,9.56,1.06,2.12,7.43,4.25,6.37,7.43,1.06,0,439.68,4.25,71.16,46.73,1504.91,10.62,4.25,11.68,0,1.06,27.61,0,0,0,3.19,0,217.72,7.43,30.8,72.22,41.42,4.25
 96-106,0,2.19,0,194.53,18.58,1.09,469.92,10.93,16.39,7.65,172.67,22.95,0,4.37,3.28,2.19,3.28,12.02,4.37,0,407.63,2.19,41.53,49.18,1225.08,12.02,7.65,17.49,0,5.46,21.86,2.19,0,0,0,0,79.78,3.28,27.32,76.5,43.71,3.28
108-118,0,0.77,0,166.98,6.13,0.77,355.41,5.36,12.26,6.89,131.75,13.02,0,0.77,4.6,3.06,0.77,9.96,3.83,0,349.28,2.3,33.7,49.79,1498.22,6.13,7.66,9.19,0,9.19,20.68,0,0,2.3,0,0,49.02,6.13,12.26,64.34,26.04,0.77
120,3.92,1.96,0,146.98,5.88,0,397.84,5.88,15.68,7.84,145.02,9.8,1.96,1.96,13.72,0,1.96,3.92,3.92,0,295.93,7.84,43.12,50.95,1701.09,15.68,3.92,7.84,0,9.8,27.44,0,0,1.96,0,0,56.83,3.92,15.68,92.11,27.44,1.96
