stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,139,0,2,0,0,0,0,0,0,0,1,38,0,0,0,0
 24-34,0,3.28,0,2.46,0,5.75,0,0,0,1.64,0,0,0,0,0,0,0,0,2.46,0,0,0.82,563.11,0,18.06,0,0,0,0.82,0,0,2.46,0,108.35,0,0,0.82,0
 36-46,0,0,0,1.61,0,17.72,0,0,0,17.72,0,1.61,0,0,0,0,0,0.81,1.61,0,0,2.42,946.66,0,8.86,0.81,0,0,2.42,0,0,0.81,0,188.53,0,0,0,0
 48-58,0,0.57,0,2.87,0,60.25,1.15,0.57,0,44.18,0,0,0,0.57,0,0,0,0,8.61,0,0.57,0.57,815.38,0,13.77,0.57,0,0,0,0,0,0.57,0,134.27,0,0,1.15,1.72
 60-70,0,0,0,1.96,0,161.95,0,0.98,0,61.84,0.98,0,0.98,0.98,0,0.98,1.96,0,5.89,0,0,0,1011.95,0,5.89,0,0,0,0.98,0,0,0,0,126.62,0,0.98,0.98,0.98
 72-82,0,4.91,0,5.89,2.94,320.02,0.98,0,0,74.61,6.87,0,1.96,0,0.98,0,0,0,23.56,0.98,0,1.96,856.01,0.98,16.69,0,0,0,2.94,0,0,0,0,65.77,3.93,0,0,0
 84-94,0,2.12,0,6.37,1.06,164.62,0,1.06,0,26.55,4.25,0,8.5,1.06,2.12,0,0,0,5.31,0,2.12,3.19,450.3,0,4.25,0,0,0,4.25,0,0,0,0,27.61,3.19,0,0,1.06
 96-106,0,3.28,0,7.65,6.56,173.76,0,0,1.09,39.34,9.84,0,4.37,0,0,0,0,0,16.39,1.09,2.19,2.19,362.83,0,13.11,0,0,1.09,1.09,1.09,0,1.09,0,13.11,2.19,0,1.09,0
108-118,0,2.3,0,7.66,0.77,120.26,0,0,0,32.94,16.09,0,2.3,0,0.77,0,0.77,0,8.43,0,0,0,409.79,0.77,6.13,0,0,0.77,1.53,0,0,0,0,8.43,2.3,0,0.77,0.77
120,0,0,0,0,1.96,111.71,1.96,1.96,0,29.4,19.6,0,1.96,0,0,0,3.92,0,9.8,1.96,0,3.92,429.19,1.96,7.84,1.96,0,0,1.96,0,0,0,0,13.72,0,0,0,0
