stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,glial,gut,hatching_gland,immune,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,10.51,5.26,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,0,3.15,0,0
 14-21,0,0,0,1,1,0,0,1,0,0,0,1,0,13,0,0,0,1,0,4,3
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,14.78,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,16.92,0,0,0,0,0,0,2.42
 48-58,0,0,0,0,4.59,0,0.57,0,0,0,0.57,2.3,0.57,12.62,0,0,0.57,0,0,0,0.57
 60-70,0,0,0,0,3.93,0,0,0,0,0.98,0,0.98,0,20.61,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0.98,0,0,0,0,3.93,0,25.52,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,2.12,1.06,14.87,0,0,0,0,0,0,0
 96-106,0,1.09,0,1.09,6.56,0,1.09,0,0,0,0,2.19,0,13.11,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,0.77,0,0,0,0,0.77,0,16.09,0,0.77,0,0,0,0,0
120,0,0,0,0,1.96,1.96,1.96,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0
