stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,19,249,120,0,39,0,8,0,12,16,1,7,0,9,1,1,0,11,135,1,0,55,1067,151,3,6,112,0,13,152,7,20,463,0,0,17,0,20
 24-34,0,4.93,6.57,62.39,9.03,0,68.95,0,26.27,0.82,15.6,0.82,0,11.49,1.64,13.13,0.82,4.1,0,35.3,99.32,7.39,0,23.8,1212.4,17.24,11.49,0,0,0,38.58,0,9.03,18.88,323.42,0,0,53.36,0,44.33
 36-46,0.81,1.61,0,37.06,1.61,0,165.16,0.81,16.11,1.61,24.98,0.81,0,8.86,1.61,3.22,4.83,3.22,1.61,27.39,125.68,4.03,0.81,22.56,1831.29,4.03,14.5,0.81,0,0,72.51,0,4.83,0,402.83,0,0,68.48,0,22.56
 48-58,0.57,0.57,0,28.69,1.72,0,657.58,0.57,22.95,4.59,48.77,1.72,0,7.46,4.59,2.87,7.46,2.87,1.15,16.64,164.68,5.74,2.3,22.38,1730.02,4.02,8.61,3.44,0,0.57,63.12,0,1.72,0,334.53,0,0.57,45.9,0,37.3
 60-70,0,2.94,0,26.5,1.96,0,1201.38,2.94,29.45,5.89,76.56,9.82,0,6.87,8.83,0,10.8,1.96,0,10.8,251.27,4.91,15.7,21.59,1996.42,3.93,3.93,1.96,0,1.96,69.69,0,7.85,0,251.27,0.98,3.93,43.19,3.93,19.63
 72-82,0,2.94,0,46.14,7.85,0,820.67,1.96,28.47,11.78,79.51,15.71,0,15.71,21.6,5.89,18.65,4.91,2.94,16.69,322.97,5.89,18.65,32.39,1563.79,2.94,3.93,6.87,0,3.93,47.12,0,10.8,0,143.32,0.98,6.87,80.5,14.72,22.58
 84-94,0,2.12,0,83.9,8.5,1.06,529.96,3.19,48.85,7.43,80.71,25.49,0,4.25,37.17,8.5,30.8,2.12,4.25,30.8,200.73,1.06,12.74,23.36,780.6,8.5,6.37,7.43,0,1.06,105.14,0,21.24,0,88.15,4.25,7.43,58.41,25.49,20.18
 96-106,0,2.19,0,97.26,5.46,2.19,373.75,2.19,32.79,5.46,67.76,24.04,0,12.02,30.6,10.93,32.79,4.37,2.19,19.67,189.06,4.37,8.74,19.67,631.67,1.09,4.37,9.84,0,2.19,96.17,0,13.11,0,29.51,5.46,8.74,57.92,30.6,25.14
108-118,0,3.06,0,85.79,5.36,6.13,301.79,2.3,60.51,4.6,54.38,17.62,0,3.06,32.17,11.49,42.89,0.77,12.26,29.11,149.36,2.3,6.89,27.57,695.49,3.06,6.13,8.43,0,0.77,44.43,0,15.32,0,26.81,4.6,12.26,45.19,13.02,32.94
120,0,3.92,0,80.35,5.88,0,262.61,1.96,23.52,5.88,47.03,17.64,0,1.96,33.32,9.8,23.52,0,5.88,9.8,111.71,3.92,3.92,37.24,666.33,1.96,1.96,5.88,0,7.84,52.91,0,1.96,0,19.6,0,9.8,47.03,21.56,15.68
