stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,34.17,0,0,0,0,0,0
 10-12,0,12.59,6.29,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,78.67,0,0,0,28.32,0,0,0,0,0,0
 14-21,0,0,1,3,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,28,2,0,1,0,0,2,13,12,0,0
 24-34,0,0,0,1.64,0,6.57,0,0,0,1.64,0.82,0,0,0,1.64,0,0.82,7.39,0,2.46,50.89,0,0.82,1.64,0,0,0,4.1,14.78,0,0
 36-46,0,0,0,1.61,0.81,7.25,0,0,0,4.03,0,0,0,0,0,0.81,0,11.28,0.81,0.81,34.64,0.81,0,0.81,0,0.81,0,0,7.25,0,1.61
 48-58,0,0,0,2.3,0,12.05,0.57,0,0.57,2.3,0,0,0,0.57,0,0.57,0,1.72,0,0,13.77,0,0,0,0,0,0,0,4.02,0,0
 60-70,0,0,0,2.94,0,7.85,0,0,0,0.98,0.98,0,0,0,0,0,0,3.93,0.98,1.96,23.56,0.98,0,0,0,0.98,0,0,2.94,0,0.98
 72-82,0,0,0,1.96,0,10.8,0.98,0,0.98,3.93,0.98,0,0.98,0,0,0,0,3.93,0,0.98,24.54,0,0,0,0,0.98,0,0,0.98,0,0.98
 84-94,0,0,0,3.19,0,3.19,0,0,1.06,2.12,0,0,0,0,0,0,0,4.25,0,0,6.37,0,0,0,0,1.06,0,0,3.19,1.06,1.06
 96-106,0,0,0,1.09,0,5.46,0,0,0,2.19,1.09,0,0,0,1.09,1.09,0,5.46,0,0,3.28,0,0,0,0,1.09,0,0,1.09,0,1.09
108-118,0,0,0,3.06,0,5.36,0,0.77,0,0.77,0,0,0,0,0,0.77,0,9.19,0,2.3,7.66,0,0,0.77,0,0.77,0,0,0.77,0,0.77
120,0,0,0,7.84,0,5.88,0,0,0,3.92,0,0,0,0,0,0,0,5.88,0,0,17.64,0,0,0,0,0,0,0,0,0,0
