stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,421.69,3861.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777.5,0,0,0,0,0,0,0,0,0,0
  5-6,888.8,6442.25,12.26,0,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0,331,30.65,0,0,91.94,0,612.96,0,0,0,0,0,0,0,0,0,0
  7-9,215.55,160.35,636.15,0,7.89,567.8,0,0,0,0,262.87,0,0,0,0,0,0,0,0,0,0,5972.44,176.12,0,0,1593,0,39.43,18.4,0,5.26,0,0,0,0,0,0,0
 10-12,6.29,113.29,261.2,0,15.73,459.46,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,4097.35,75.53,0,0,478.34,0,0,28.32,6.29,34.62,0,0,9.44,0,0,0,0
 14-21,0,0,3,83,47,41,0,0,101,9,0,3,31,1,0,0,0,62,0,0,17,4695,11,1,9,6,0,2,7,14,5,1,11,1391,0,0,0,0
 24-34,0,0,0,13.13,10.67,48.43,0,0.82,148.57,0,0,1.64,48.43,0,1.64,0.82,0.82,53.36,0,0,15.6,4212.63,0.82,4.1,15.6,0,0,4.93,0,0,0.82,0.82,9.85,1525.97,0,5.75,0,1.64
 36-46,0,0,0,2.42,0.81,29,0.81,1.61,174.83,0,0,0.81,44.31,0,0,0,0,39.48,0,0,7.25,2196.25,0.81,0,13.7,0,0,2.42,0,0,0,0,0,1211.73,0,2.42,0,1.61
 48-58,0,0.57,0,0.57,1.15,22.38,0,3.44,129.11,0,0,0,38.44,0,0,0,0,31.56,0,0.57,5.16,378.14,0,1.15,9.18,0,0,0.57,0,0,0,0,0,487.16,0,0.57,0,2.3
 60-70,0,0,0,0.98,0,9.82,0,1.96,71.65,0,0,0,30.43,0,0,0,0,12.76,0,0.98,3.93,136.43,0,0,2.94,0,0.98,0,0.98,0,0,0,0,106.99,3.93,0.98,0,0
 72-82,0,0,0,0,0,7.85,0,2.94,44.17,0,0,0,51.05,0,0.98,0,0,15.71,0,0,3.93,65.77,0,0,3.93,0,0,0,0,0,0,0,0,22.58,4.91,1.96,0.98,0
 84-94,0,0,0,1.06,1.06,24.43,0,0,36.11,0,0,0,66.91,0,0,0,0,13.81,0,1.06,0,28.68,0,0,0,0,0,0,0,0,0,0,0,26.55,3.19,2.12,0,0
 96-106,0,0,0,1.09,1.09,10.93,0,0,13.11,0,0,0,79.78,0,0,0,0,6.56,0,0,1.09,22.95,0,0,1.09,0,0,1.09,0,0,0,0,0,4.37,2.19,5.46,1.09,0
108-118,0,0,0,1.53,3.06,9.96,0,0,15.32,0,0,0,65.87,0,0,0,0,3.83,0,0,0,22.21,0,0,1.53,0,0.77,0.77,0,0,0,0,0,5.36,0,3.83,0,0
120,0,0,0,0,3.92,0,0,0,17.64,0,0,0,76.43,0,1.96,0,0,3.92,1.96,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0
