stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,55.17,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,31.54,2.63,0,7.89,2.63,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,25.18,0,0,12.59,0,0,0,0
 14-21,0,0,3,0,0,0,1,0,0,0,0,0,1,8,0,0,2,0,0,4,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,0,1.64,0,1.64,30.37,0,0,0,0,0.82,1.64,0
 36-46,0,0,0,0,10.47,0,0,0,0,0,1.61,0,0,9.67,0,0,0,0,0,4.03,0
 48-58,0,0,0,0,5.16,0.57,1.15,0,0,0,2.3,0,0,5.16,0,0,0,0,0,0,0
 60-70,0,0,0,0,5.89,0,1.96,0,0,0,0.98,0,0.98,2.94,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0.98,0,0,0.98,0.98,0,0.98,5.89,0,0.98,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,0,0,0,0,0,2.12,1.06,1.06,5.31,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,0,4.37,0,0,0,0,0,0,0
108-118,0,0,0,0,3.06,0,0.77,0,0.77,0,0,0,0.77,0.77,0,0,0,1.53,0,0,0
120,0,0,1.96,0,0,0,1.96,0,0,0,5.88,0,0,1.96,0,0,0,0,0,0,1.96
