stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10,6,1,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
 24-34,0,0,0,0,32.01,4.1,7.39,0,2.46,0,0,0,0,116.56,0.82,0,0,0,0,0.82,0,0,2.46,19.7,2.46,0.82,0,0,0,0,5.75,0,0.82,5.75,0,0,4.93,0,0
 36-46,0,0,0,0,24.98,0.81,6.45,0.81,2.42,0,2.42,0,0,144.21,0,0,0,0.81,0,0.81,0,0,0.81,31.42,2.42,0,1.61,0,0,1.61,2.42,0.81,0,6.45,0,0,4.03,0,0
 48-58,0,0,0,0,16.07,0,13.2,0,5.74,0,1.15,0,0,140.01,0,0,0,0,0,5.16,0,0,0,17.79,6.89,0.57,0,0,0,0,1.72,0.57,0,2.3,0,0,4.59,0,0.57
 60-70,0,0,0,0,18.65,1.96,34.35,0,4.91,0,2.94,3.93,0,158.03,0.98,0,0,0,0,2.94,0,0,0,8.83,11.78,0,0,0,0,0,1.96,0,0,1.96,0.98,0.98,4.91,0,0
 72-82,0,0,0,0,32.39,2.94,43.19,0.98,4.91,0.98,1.96,7.85,0.98,248.36,6.87,0,0,1.96,0.98,7.85,0,0.98,0.98,24.54,16.69,0,0,0,0,2.94,3.93,0,0,2.94,0,0,16.69,0,0
 84-94,0,0,1.06,0,45.67,1.06,56.29,0,11.68,0,2.12,23.36,1.06,270.82,3.19,0,0,2.12,0,3.19,1.06,1.06,0,6.37,36.11,3.19,1.06,0,0,7.43,11.68,0,0,1.06,3.19,0,12.74,1.06,0
 96-106,0,0,2.19,0,53.55,8.74,63.39,0,5.46,0,2.19,19.67,0,384.68,7.65,1.09,1.09,2.19,0,8.74,2.19,1.09,1.09,20.76,25.14,4.37,0,0,1.09,4.37,9.84,0,0,4.37,0,1.09,27.32,1.09,0
108-118,0,0,0,0.77,52.09,3.06,57.45,0,10.72,0,0.77,26.04,0,300.26,11.49,0,0,3.83,0,3.83,0.77,1.53,0,22.21,32.94,0.77,0,0,0.77,3.06,6.13,0,0,1.53,3.83,0,24.51,0,1.53
120,0,0,0,0,45.08,11.76,17.64,0,5.88,0,0,29.4,0,393.92,1.96,0,1.96,0,0,7.84,0,0,0,13.72,27.44,3.92,1.96,0,0,3.92,3.92,0,0,0,0,0,27.44,0,0
