stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0,2,0,0,2,0,1,67,0,0,0,0,0
 24-34,0,0,0,9.03,0,5.75,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,1.64,307.82,0,0,0.82,0,0,3.28,0.82,0,118.2,0,0,0.82,0,0
 36-46,0,0,0,2.42,0,11.28,0,0.81,0,3.22,0,0,0,0,0,0,0,0,0,4.83,0,0,0,935.38,0,0.81,0,0,0,1.61,0,0,217.53,0,0,0,0,0
 48-58,0,0,0,5.16,0,103.86,0,0,0.57,13.77,0,0,0,0.57,0,0,0,0,1.15,16.07,0,0.57,3.44,1738.05,0,1.15,1.15,0,0,2.3,0,0,327.64,0,0,1.15,0,2.3
 60-70,0,0,0,7.85,0,172.75,0,0.98,1.96,32.39,0,0,2.94,0,0.98,1.96,0,0,0,17.67,0.98,0,0.98,2585.33,0,0.98,0,0,0,0.98,0.98,0,370.03,0,0.98,0.98,0,1.96
 72-82,0,2.94,0,13.74,5.89,343.58,0,0,0,94.24,2.94,0,5.89,2.94,0,0.98,0.98,0,0,57.92,0,0.98,6.87,2954.8,0,1.96,1.96,0,0.98,4.91,0,0,265.05,3.93,0.98,2.94,0,0.98
 84-94,0,1.06,0,18.05,2.12,269.76,1.06,1.06,2.12,61.6,2.12,0,2.12,1.06,0,1.06,0,0,0,37.17,0,1.06,4.25,1486.85,0,2.12,2.12,0,1.06,5.31,0,0,141.25,3.19,2.12,3.19,4.25,1.06
 96-106,0,1.09,0,15.3,3.28,203.27,1.09,0,3.28,75.41,1.09,0,5.46,3.28,0,2.19,0,2.19,0,38.25,1.09,1.09,3.28,1233.82,1.09,1.09,1.09,0,1.09,4.37,0,0,65.57,7.65,1.09,3.28,1.09,1.09
108-118,0,0.77,0,13.79,1.53,115.66,0.77,3.06,0.77,67.4,0.77,0,1.53,0,0,2.3,0,0,0.77,22.21,0,3.83,5.36,1386.39,0,2.3,3.83,0,0.77,2.3,0,0,51.32,4.6,1.53,3.06,0,0
120,0,0,0,13.72,1.96,117.59,0,5.88,0,37.24,1.96,0,1.96,3.92,1.96,0,0,0,0,23.52,0,1.96,1.96,1218.99,1.96,3.92,3.92,0,0,1.96,1.96,0,60.75,3.92,1.96,1.96,0,1.96
