stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,liver,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,3.15,0,3.15,0,0,3.15,0,0
 14-21,0,0,0,1,0,0,2,0,3,12,0,0,0,4,1,1,4
 24-34,0,0,0,0,0,0,0.82,0,0.82,0,0.82,0,0,0,0,0.82,1.64
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,1.61
 48-58,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,0,0,0.77,0,0,0,0,0,0,0
