stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,39.53,830.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,760.07,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,0,0,0,0,107.78,2.63,0,0,21.03,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,1.64,2.46,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,6.45,0,0.81,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0,0,0,0,0,7.46,0,0,0,0,0.57,0,0,0,2.87,0.57,0
 60-70,0,0,0,0.98,0,0.98,0,0,0,0,0.98,8.83,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0.98,0.98,0,0.98,0,0.98,0,13.74,0,0.98,0,0,0.98,0,0,0,0.98,0,0.98
 84-94,0,0,0,0,0,0,0,0,1.06,1.06,0,5.31,0,0,0,0,2.12,0,0,0,0,1.06,0
 96-106,0,0,0,6.56,0,2.19,0,2.19,0,1.09,0,1.09,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,3.06,0,0.77,0.77,0,1.53,1.53,0,3.83,0,0,0,0,1.53,0,0,0,0,0,0
120,0,0,0,5.88,0,0,0,0,0,1.96,0,5.88,0,0,0,0,7.84,0,1.96,0,0,0,0
