stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,6,0,291,9,0,7,0,0,0,6,1,0,0,2,0,0,0,0,10,0,0,7,212,1,5,5,9,0,99,0,2,8,0,6,258,0,0,3,0,0
 24-34,5.75,0.82,134.62,1.64,0,22.16,0,4.1,0,6.57,0.82,0.82,0,1.64,0,7.39,2.46,0,30.37,0.82,0,7.39,1240.31,2.46,55.82,2.46,0,0,195.36,0,0,3.28,0.82,3.28,426.02,0,0,4.1,0,0
 36-46,1.61,0,47.53,0,0,45.12,0,8.06,0.81,11.28,0,2.42,0,2.42,0,3.22,0.81,0,44.31,0,0,12.09,2997.9,0.81,67.68,1.61,0,0.81,189.33,0,0,2.42,0,0,594.58,0,0,2.42,0,0.81
 48-58,1.15,0,35,0,0,295.51,0.57,10.9,2.87,47.63,0,1.72,0.57,0,0.57,5.16,0.57,0.57,71.15,2.3,1.15,13.77,3922.53,1.72,47.63,4.59,0,0.57,111.32,0,0,1.72,0,0.57,702.34,0,0,1.72,0,4.02
 60-70,2.94,0,47.11,1.96,0,744.98,2.94,16.69,2.94,62.82,2.94,0,0.98,0,2.94,6.87,0.98,0.98,73.61,1.96,2.94,9.82,5142.19,0.98,47.11,5.89,0,0,80.48,0,0,0.98,0,0,677.25,0,4.91,4.91,1.96,0.98
 72-82,6.87,0,60.86,3.93,0,973.81,0.98,16.69,1.96,130.56,11.78,0,3.93,0,1.96,8.83,0.98,1.96,113.87,1.96,4.91,17.67,4265.32,0,87.37,12.76,0,0.98,57.92,0,0,1.96,1.96,0,379.9,1.96,6.87,6.87,9.82,2.94
 84-94,10.62,0,88.15,4.25,0,638.28,1.06,27.61,4.25,118.95,5.31,1.06,3.19,5.31,1.06,1.06,3.19,2.12,75.4,2.12,4.25,5.31,2203.73,2.12,63.72,8.5,0,1.06,169.93,0,0,2.12,0,0,229.4,4.25,1.06,6.37,3.19,3.19
 96-106,8.74,0,73.22,10.93,1.09,457.9,1.09,16.39,2.19,86.33,15.3,1.09,3.28,7.65,0,2.19,4.37,0,57.92,3.28,5.46,13.11,1654.57,0,107.1,12.02,0,0,100.54,1.09,0,0,0,0,98.36,3.28,8.74,2.19,10.93,2.19
108-118,7.66,0,70.47,2.3,0,307.15,0,26.81,3.83,60.51,7.66,0.77,2.3,0.77,2.3,4.6,1.53,0.77,49.79,0,2.3,4.6,1920.27,0.77,58.98,10.72,0,3.06,75.83,0,0,1.53,0.77,0,62.81,6.13,1.53,8.43,5.36,0.77
120,7.84,0,84.27,11.76,1.96,350.8,0,27.44,5.88,90.15,13.72,0,7.84,1.96,0,3.92,0,0,64.67,5.88,5.88,3.92,2418.38,0,48.99,9.8,0,0,101.91,0,0,5.88,1.96,0,86.23,1.96,3.92,11.76,7.84,0
