stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0,0,3.28,0,0.82,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,2.42,0,1.61,0,3.22,0,0,0,0
 48-58,0,0,0,0.57,0,0,12.05,0,0.57,0.57,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,1.72,0,0,0,1.15,0,0,0,0
 60-70,0,0,0.98,0,0,0,235.57,0,0,1.96,0.98,0,0,0,0.98,0,1.96,0,0,0,18.65,0,0,0,0.98,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,548.75,0.98,0.98,20.61,1.96,0,0.98,0.98,0,0,4.91,0,0.98,0.98,53.01,0,0,0.98,0,0.98,0,0,0.98,0,0,0.98,0
 84-94,0,1.06,0,4.25,1.06,0,292.06,0,1.06,19.12,7.43,1.06,0,0,0,0,4.25,0,0,1.06,37.17,0,1.06,0,2.12,0,3.19,0,4.25,0,0,0,1.06
 96-106,0,1.09,0,0,1.09,0,316.93,0,0,13.11,9.84,1.09,1.09,0,1.09,0,4.37,0,0,0,45.9,1.09,0,0,1.09,0,0,0,1.09,0,1.09,1.09,0
108-118,0,0,0,3.06,1.53,0.77,177.7,0,0.77,6.13,19.92,0,0,0,1.53,0.77,3.06,0,1.53,0.77,37.53,0,0,0,0,0,1.53,0,0,0.77,0,0,0
120,0,0,0,0,0,0,125.43,0,0,13.72,25.48,0,0,0,0,0,3.92,1.96,0,0,52.91,0,0,0,3.92,0,5.88,0,0,0,0,0,0
