stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,6.29,3.15,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,29,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,13.13,0,0,0.82,0.82,17.24,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,3.22,0,17.72,0,0,0,0,10.47,0,0,0
 48-58,0,0.57,0,1.72,0,0.57,0,0,0,4.02,0,32.71,0,0,0,0,6.31,0,0,0
 60-70,0,0.98,0,7.85,0,0.98,0,0,0,9.82,0,48.09,0,0,0,0,1.96,0,0,0
 72-82,0,0.98,0,21.6,0,0.98,1.96,0,0.98,12.76,0,73.62,0,0,0,0,0.98,0,0,0
 84-94,0,3.19,0,4.25,2.12,1.06,1.06,1.06,0,5.31,1.06,26.55,0,0,0,0,3.19,0,0,0
 96-106,0,8.74,0,14.21,1.09,1.09,2.19,0,0,4.37,0,20.76,0,0,0,0,3.28,0,1.09,0
108-118,0,4.6,0,16.85,3.83,0,0,0,0,7.66,0.77,27.57,0,0,0,0,1.53,0,0.77,0
120,0,1.96,1.96,9.8,1.96,1.96,1.96,0,0,5.88,0,50.95,0,0,0,0,3.92,0,0,0
