stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,liver,melanocytes,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,47.32,0,15.77,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,31.47,0,9.44,0,0,0,0
 14-21,0,0,3,2,0,0,0,0,0,1,0,0,0,9,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0.82,0,0,16.42,0,0,0,0.82,1.64,0
 36-46,0,0,0,1.61,0,0,0,0,0,0.81,0,0,0,23.36,0,0,0,0,0.81,0
 48-58,0,0,0,7.46,0,0,0,0,0,0,0,0,0,49.92,0,0,0,0,2.3,0.57
 60-70,0,0,0,6.87,0,0,0,0,0.98,0,0,1.96,0,52.02,0,0,0,0,1.96,0.98
 72-82,0,0,0.98,25.52,0,0,0.98,0,0,0,0,0,0,108.96,0,0,0,0,1.96,0
 84-94,0,0,0,12.74,0,0,0,0,0,0,0,1.06,0,37.17,0,0,2.12,2.12,1.06,0
 96-106,0,0,1.09,4.37,0,1.09,0,0,2.19,1.09,0,2.19,0,8.74,0,0,7.65,0,0,0
108-118,0,0,0,3.83,0,0,0.77,0,0,0.77,0,0.77,0,28.34,0.77,0,0,0,0,0
120,0,0,0,0,1.96,1.96,0,0,3.92,0,0,0,1.96,21.56,0,0,25.48,0,0,0
