stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,23.66,23.66,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,3.15,0,0,0,0,0,34.62,9.44,0,0,3.15,3.15,0,0,0
 14-21,0,0,0,3,0,0,0,0,1,0,0,0,0,1,2,15,0,0,2,0,0,11,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,1.64,0,12.31,0,0,0,0,0,4.1,0,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,0,0,0.81,0.81,0.81,7.25,0,0,0.81,0,0,4.03,0,0
 48-58,0,0,0,0,0,2.3,0,0,0.57,0,0,0,0,0.57,0,6.89,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,0,2.94,0.98,0,1.96,0.98,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.93,0,0.98,4.91,0,0,0,0,3.93,0.98,3.93,0,0.98,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,0,1.06,0,1.06,1.06,0,1.06,0,0,0,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,2.19,1.09,3.28,0,0,0,0,0,1.09,1.09,1.09
108-118,0,0,0,0.77,0,1.53,0,0,1.53,0,0,0.77,0,0.77,0,6.13,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0
