stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,notochord,olfactory,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0.82,11.49,0,0.82,0,0,4.93,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,15.31,0,0.81,0,0,1.61,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,23.53,0,0,0.57,0,4.59,0,0,0
 60-70,0,0,7.85,0,0,0,0,0.98,0,50.06,0.98,0.98,0,0,9.82,0,0,0
 72-82,0,0.98,12.76,0,0,0.98,0.98,0.98,0.98,43.19,0,0.98,0,0,7.85,0,0,0.98
 84-94,0,1.06,3.19,0,1.06,0,2.12,4.25,1.06,25.49,0,0,1.06,0,2.12,0,0,0
 96-106,0,0,4.37,1.09,0,0,3.28,5.46,0,20.76,0,2.19,1.09,0,0,0,0,0
108-118,0,0,0.77,0,0.77,0,3.06,1.53,0,19.92,0,0.77,0,0.77,0.77,0.77,0.77,0.77
120,0,0,3.92,0,0,0,3.92,0,0,25.48,0,0,0,0,0,0,0,0
