stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,2.63,0,0,21.03,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,9.44,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,199,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,1,8,1,1,0,0,0,83,0,1,2,3,0,0,1,0,0
 24-34,0,0,137.08,0,1.64,68.13,0,2.46,0,0.82,0.82,0,0,0,0,64.85,6.57,0,0.82,18.88,0,0,0,0,0,128.87,0,0,0,4.93,0,0,0,0,0
 36-46,0,0,95.07,0,4.03,45.92,0,0,0,0,0,0,2.42,0,0,174.83,1.61,0,0,28.2,0,0.81,0,0,0,111.99,0,0,0,1.61,0,0,0.81,0,1.61
 48-58,0,0,80.91,0,13.2,51.07,1.15,3.44,0,0,0.57,0,3.44,0,0,320.76,5.74,1.72,0.57,57.95,0.57,0,0.57,0,0,102.71,0,0,0,9.18,0,0,1.15,0,1.72
 60-70,0.98,0,72.63,0.98,22.58,50.06,0.98,1.96,0,0,0,0,2.94,0,0,466.22,0.98,0,0.98,31.41,0,0,0,0,0,96.19,0,0,0,4.91,0.98,0,0,0,0.98
 72-82,0,0,95.22,2.94,38.28,34.36,0.98,12.76,0,0.98,0,1.96,12.76,0,0,644.95,1.96,9.82,1.96,46.14,0,0,1.96,0,0,214.98,0,0,0,1.96,0.98,1.96,0,0.98,0
 84-94,0,0,154,2.12,61.6,74.34,0,6.37,1.06,2.12,1.06,0,8.5,0,0,540.58,7.43,7.43,2.12,16.99,0,2.12,0,0,0,654.22,0,0,0,1.06,3.19,1.06,0,1.06,0
 96-106,0,0,196.71,3.28,54.64,86.33,1.09,12.02,0,1.09,5.46,0,8.74,0,1.09,430.58,7.65,16.39,1.09,34.97,0,5.46,1.09,0,0,475.39,0,0,0,2.19,0,0,2.19,1.09,0
108-118,0,0,148.6,0,25.28,88.85,1.53,3.06,1.53,0,8.43,0.77,10.72,0,0,483.32,9.19,11.49,1.53,30.64,0,0.77,0.77,0,1.53,440.43,0,0,0,0,0.77,0.77,1.53,1.53,0
120,0,0,141.1,5.88,13.72,58.79,0,1.96,0,1.96,7.84,0,7.84,1.96,0,370.4,7.84,1.96,3.92,37.24,1.96,1.96,0,0,0,243.01,0,0,0,1.96,3.92,1.96,0,0,0
