stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,668.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,15.77,0,0,10.51,0,0,0,10.51,0,0,0,0,0,0,0,0,165.61,7.89,0,0,47.32,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,6.29,0,3.15,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,191.97,6.29,0,0,72.38,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,2,3,0,2,0,3,1,0,0,0,0,0,6,0,0,1,47,2,0,1,0,1,8,1,2,18,0,0,0,0
 24-34,0,0,0.82,0,0,4.93,0,0,0,0.82,0,0,0,0,4.1,0,0,2.46,32.01,0,0,0,0,0,0,0,0.82,7.39,0,0,0,0
 36-46,0,0,0,0.81,0,5.64,0,0,0,0,0,0,0,0.81,4.83,0,0,0.81,26.59,0,0,0.81,0,0,0,0,0,6.45,0,0,0,0
 48-58,0,0,0,0.57,0,8.61,0.57,1.72,0,0,0,0,0,0,6.31,0,0.57,1.15,15.49,0,0.57,0,0,0,0,0,0,4.02,0,0,0.57,0
 60-70,0,0,0,0.98,0,0.98,0,2.94,0,0,0,0,0,0.98,2.94,0,0,0.98,2.94,0,0,0,0,0.98,0,0,0,1.96,0.98,0,0,0
 72-82,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0.98,9.82,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,0,2.12,0,1.06,0,0,0,0,0,0,5.31,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,2.19,1.09,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,5.36,0,1.53,0.77,0,0.77,0.77,0.77,0,4.6,0,0.77,0,4.6,0,0.77,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,1.96,0
