stage,blastomeres,epidermis,eye,glial,gut,iridophores,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,3.15,3.15,0,3.15,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0.57,0.57,0.57,0,0,0.57,0.57,0
 60-70,0,0,0,14.72,0.98,0.98,0,0.98,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,11.78,0,0,0.98,1.96,0,0,0,0,1.96,0,0
 84-94,0,1.06,1.06,7.43,0,0,2.12,1.06,0,0,0,1.06,1.06,1.06,0
 96-106,0,0,0,3.28,0,0,0,2.19,0,0,0,1.09,0,0,0
108-118,0,0,0,1.53,0,0,0.77,2.3,0,0,0,0.77,0,0,0.77
120,0,0,0,21.56,0,0,0,1.96,0,0,0,0,0,0,0
