stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,16,2,0,0,1,2,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0,1.64,0,0,20.52,0,0,0.82,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.72,0,0,0,0,6.31,0,0.57,0,0,1.15,0,1.15,0,0,0,0,1.72,0,0.57,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,1.96,0,0.98,0,0,1.96,0,0,0.98,1.96,53.98,0,0,0,0,12.76,1.96,0.98,2.94,0,0.98,0.98,12.76,0,0,0,0,0,6.87,0,0.98,0,0,1.96,0,0,0,0,0
 72-82,0,0,26.5,0,5.89,0.98,0,12.76,0.98,0.98,0.98,3.93,234.62,0.98,0.98,0,0.98,27.49,2.94,0,5.89,0,0,0,80.5,0,0,1.96,0,0.98,7.85,0,0,0,0,3.93,1.96,0.98,1.96,0,0
 84-94,0,0,20.18,1.06,1.06,1.06,0,11.68,0,1.06,0,3.19,415.26,0,1.06,0,1.06,44.61,2.12,1.06,6.37,0,0,0,26.55,0,2.12,0,0,0,12.74,0,8.5,0,0,1.06,0,0,0,1.06,1.06
 96-106,0,0,38.25,0,12.02,13.11,3.28,41.53,3.28,1.09,0,14.21,617.46,1.09,1.09,3.28,0,74.31,27.32,0,31.69,2.19,3.28,4.37,135.51,0,4.37,0,0,0,14.21,0,6.56,0,0,3.28,4.37,0,5.46,1.09,3.28
108-118,0,0,25.28,0.77,7.66,3.06,0.77,15.32,1.53,2.3,0,11.49,677.11,0.77,3.06,0.77,1.53,62.04,26.04,0,23.74,0,1.53,4.6,127.92,0,0.77,0.77,0,1.53,14.55,0,7.66,0,0,0.77,1.53,0,3.06,0.77,1.53
120,1.96,0,27.44,0,7.84,1.96,0,11.76,0,0,0,9.8,509.54,0,0,0,0,35.28,11.76,0,13.72,0,0,1.96,80.35,1.96,1.96,1.96,0,0,3.92,0,3.92,0,0,0,1.96,0,0,1.96,0
