stage,endocrine_pancreas,epidermis,eye,glial,gut,hatching_gland,immune,mesenchyme,mural_cell,neural,olfactory,otic,somites,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.93,0,0,0,6.57,0,0
 36-46,0,0,0,0,0,0,0,0,0,9.67,0,0,0,7.25,0,0
 48-58,0,0,1.15,1.15,0,0,0,1.15,0,13.2,0.57,0,0,2.87,0,0
 60-70,0,0.98,10.8,0,0,0,0,1.96,0,13.74,0.98,0,0,4.91,0,0
 72-82,0,0,13.74,0,0.98,0,0,4.91,0.98,17.67,0,0.98,0,1.96,0,0
 84-94,1.06,1.06,4.25,0,0,0,0,2.12,0,6.37,0,0,0,1.06,0,0
 96-106,0,0,3.28,1.09,0,0,0,4.37,0,2.19,0,0,0,0,0,1.09
108-118,0,0,3.83,0.77,0,0,0,2.3,0,7.66,0,0,0,0,0,0
120,0,0,5.88,0,0,0,1.96,5.88,0,13.72,0,1.96,0,0,1.96,1.96
