stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,724.79,8104.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0
  5-6,324.87,2353.78,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,355.52,0,0,0,110.33,36.78,0,0,0,0,0,0
  7-9,2.63,34.17,63.09,0,0,0,0,0,26.29,0,0,0,0,0,0,89.38,5.26,0,0,533.63,0,5.26,0,5.26,0,0,0
 10-12,0,37.76,53.5,0,6.29,0,0,0,3.15,0,0,0,0,0,0,6.29,0,0,0,125.88,0,0,0,160.5,0,0,0
 14-21,0,0,0,1,507,2,0,0,0,1,6,0,4,0,1,14,2,0,1,6,0,0,8,3,0,8,11
 24-34,0,0,0,0.82,267.6,0.82,0.82,0,0,0.82,4.93,0,0.82,0.82,0,15.6,0,0.82,0,0,0.82,0,0,0,4.93,7.39,11.49
 36-46,0,0,0,0,22.56,0.81,0.81,1.61,0,0,0.81,0,0.81,0,0,9.67,0,0,0,0,0,0,0,0,0,0,1.61
 48-58,0,0,0,0,16.64,3.44,0,0.57,0,0.57,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,1.72,2.87
 60-70,0,0,0,0,24.54,1.96,0,0,0,0,0,0.98,1.96,0,0,3.93,0,0,0,0,0,0,0,0,0,0,1.96
 72-82,0,0,0,0,45.16,0.98,0,0,0,0,0,0,2.94,0,0,2.94,0,0,0,0,0,0,0,0,0,0,7.85
 84-94,0,0,1.06,0,45.67,2.12,0,1.06,0,0,4.25,0,2.12,0,0,2.12,0,0,0,0,0,0,0,0,0,1.06,7.43
 96-106,0,0,0,0,48.09,2.19,1.09,0,0,0,2.19,0,8.74,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0,2.19
108-118,0,0,0.77,0,58.21,2.3,0,0,0,0,2.3,0,1.53,0,0,3.06,0,0,0,0,0.77,0,0,0,0,0,1.53
120,0,0,0,0,70.55,1.96,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
