stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,50,0,2,1,1,3,0,3,1,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,0,2.46,16.42,0,0,8.21,0,0,0,1.64,1.64,0,0
 36-46,0,0,0,0,0.81,0,0,1.61,0,0,0,0,3.22,0,0,0,0,0,0,3.22,9.67,0,0,8.86,0.81,0,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,0,0,0.57,0,0.57,1.15,0,3.44,0,0,0,0,0.57,0,5.16,4.59,0,0,21.8,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,1.96,0,0,0.98,0,2.94,0.98,0,0,0,0,0,0,0.98,0,0,39.26,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0.98,4.91,0,0,0.98,0,0,0,0.98,15.71,0,0.98,0,0.98,0,0,0,1.96,0,0,58.9,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,8.5,1.06,0,0,0,1.06,0,0,19.12,4.25,0,0,1.06,2.12,0,3.19,0,0,0,203.91,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,22.95,1.09,0,2.19,0,5.46,0,3.28,38.25,1.09,0,2.19,1.09,2.19,1.09,10.93,0,0,0,182.51,0,0,0,0,0,0,1.09
108-118,0,0,0,0,13.02,0,0.77,1.53,0.77,3.06,2.3,1.53,30.64,4.6,0.77,0,0,4.6,0,5.36,1.53,0.77,0,196.09,0,0,0,0,0,0,0.77
120,1.96,0,0,0,11.76,0,0,0,0,9.8,0,0,15.68,3.92,0,1.96,3.92,0,0,3.92,0,0,0,125.43,0,0,0,0,0,0,0
