stage,blastomeres,epidermis,eye,fast_muscle,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,6.13,0
  7-9,0,0,0,0,0,0,7.89,0,2.63,0,0
 14-21,0,1,0,0,1,1,4,0,0,1,2
 24-34,0,0.82,2.46,0,0,0,6.57,0,0,0,0
 36-46,0,1.61,0,0,0,0,3.22,0,0,0,0.81
 48-58,0,0.57,0,0.57,0,0,2.3,0,0,0,0
 60-70,0,0,0,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0
