stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,224.02,2582.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,1342.39,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,49.04,6.13,0,0,12.26,0,42.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,15.77,78.86,0,0,0,28.92,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,270.76,15.77,0,0,89.38,0,0,21.03,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,15.73,66.09,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,25.18,0,0,113.29,0,0,3.15,3.15,28.32,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,34,4,0,8,0,0,0,0,22,0,0,0,1,0,0,0,0,56,1,0,24,74,11,1,1,12,0,1,9,58,7,46,127,50,0,0,3,0,0
 24-34,0,0,2.46,20.52,0.82,0,67.31,5.75,4.1,7.39,7.39,19.7,0,0.82,0,2.46,0,2.46,2.46,0.82,130.52,1.64,0,46.79,352.97,10.67,0,4.1,0,0,6.57,0,0,9.85,91.94,96.86,84.55,0,0,7.39,0,0
 36-46,0,0,0,8.86,0.81,0,51.56,12.89,3.22,8.86,8.06,11.28,0,1.61,0,7.25,1.61,3.22,0.81,0,131.32,0,4.83,40.28,412.5,4.83,0,2.42,0.81,0,4.03,4.03,0,6.45,77.34,8.06,86.21,0,0,4.83,0,0.81
 48-58,0.57,0,0,7.46,0.57,0,154.93,5.16,8.03,17.79,16.07,2.87,0,1.72,0.57,2.3,1.72,0.57,2.3,0.57,144.03,0,5.16,40.17,297.23,2.87,0.57,0.57,0,0.57,0.57,0,0,3.44,57.95,0,82.05,0,0,3.44,1.15,1.15
 60-70,0,0,0,6.87,0,0,356.29,14.72,4.91,17.67,44.17,8.83,0,1.96,0.98,3.93,0.98,0.98,3.93,1.96,158.03,0,3.93,32.39,226.73,1.96,0.98,1.96,0,0,0,0,0,3.93,42.21,0,90.3,0,2.94,0,1.96,1.96
 72-82,0,0,0,6.87,0.98,0.98,379.9,14.72,4.91,41.23,55.95,7.85,0,0,2.94,6.87,0,2.94,17.67,0.98,216.95,0,3.93,53.01,188.48,4.91,3.93,1.96,0.98,4.91,1.96,0.98,0,8.83,26.5,0,55.95,0,0,5.89,13.74,5.89
 84-94,1.06,0,0,19.12,3.19,1.06,274.01,14.87,9.56,28.68,47.79,12.74,0,2.12,3.19,11.68,8.5,4.25,47.79,1.06,142.31,0,11.68,40.36,123.2,5.31,2.12,7.43,0,1.06,8.5,0,0,9.56,52.04,0,37.17,2.12,3.19,3.19,16.99,8.5
 96-106,0,0,0,18.58,7.65,2.19,245.89,19.67,5.46,34.97,63.39,7.65,0,7.65,3.28,7.65,3.28,2.19,54.64,1.09,175.95,2.19,12.02,44.81,132.23,4.37,3.28,6.56,0,2.19,6.56,2.19,0,10.93,57.92,0,20.76,2.19,4.37,9.84,9.84,4.37
108-118,0,0,0,17.62,3.06,1.53,205.28,24.51,17.62,25.28,63.57,11.49,0,3.06,3.83,10.72,9.96,0.77,75.06,3.83,159.32,0,6.13,46.72,184.6,8.43,1.53,6.89,0,4.6,2.3,0,0,9.19,40.6,0,19.92,0.77,2.3,4.6,5.36,10.72
120,0,0,0,17.64,0,1.96,121.51,1.96,5.88,13.72,54.87,7.84,0,0,5.88,5.88,11.76,0,21.56,1.96,103.87,0,0,47.03,117.59,3.92,0,7.84,0,0,1.96,0,0,7.84,9.8,0,9.8,0,0,1.96,5.88,1.96
