stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,9,5,0,52,0,0,0,8,0,0,0,1,0,0,0,0,1,3,0,0,0,316,0,2,5,0,0,1,11,0,1,5,537,0,0,0,0
 24-34,0,0,0,0,4.1,0,0,591.84,0,0.82,0,72.24,0,0,0,0,0,0.82,3.28,0.82,6.57,9.85,0,0,7.39,1484.11,0.82,5.75,24.63,0,3.28,0,0,0.82,0,5.75,1058.9,0,18.06,0,0
 36-46,0,0,0,0,1.61,0,0,1018.37,0,0,0,54.79,0,0,0.81,0,0,0,0.81,0.81,3.22,20.14,0.81,0.81,2.42,912.02,0.81,5.64,8.06,0,4.83,0.81,0,0,0,0,737.99,0,1.61,0,0
 48-58,0.57,0,0,0,3.44,0.57,0,1151.05,0,0.57,0,160.67,0,0.57,0.57,0,1.15,1.15,3.44,0,0,32.71,0,0,4.59,751.11,0.57,6.31,12.62,0,0.57,0,0,0,0.57,0,460.19,0.57,2.87,0,0.57
 60-70,0,0,0,0,2.94,0,0,704.73,0,0.98,0,166.86,0,0.98,0,0.98,0,0,10.8,0,0,26.5,0,0.98,0.98,352.37,0.98,4.91,7.85,0,0,0,0,0,0,0,112.88,0,0,0,0
 72-82,0,0,2.94,0,6.87,2.94,0,641.03,0.98,0.98,1.96,396.59,0,0,0,1.96,0.98,0,18.65,0,0,51.05,0,0,0.98,509.48,0,7.85,18.65,0,1.96,0,0,0,0,0,64.79,0,2.94,0.98,0
 84-94,0,0,0,0,10.62,1.06,0,487.48,0,2.12,0,225.15,2.12,1.06,0,1.06,0,0,46.73,0,0,38.23,0,5.31,3.19,249.58,0,10.62,9.56,0,2.12,0,0,0,1.06,0,44.61,0,4.25,2.12,0
 96-106,0,0,1.09,0,6.56,0,2.19,362.83,0,0,1.09,213.11,1.09,0,0,0,0,2.19,36.06,1.09,0,22.95,0,1.09,1.09,202.18,3.28,22.95,15.3,0,2.19,0,0,0,2.19,0,15.3,1.09,3.28,1.09,0
108-118,0,0,0,0,4.6,0,0,269.62,0,0,0.77,143.24,0,0,0,0,0.77,0,16.09,3.06,0.77,19.15,0.77,0,2.3,199.15,0,8.43,9.96,0,0,0,0,0.77,0,0,8.43,0,0,0,0
120,0,0,1.96,0,9.8,1.96,0,158.74,0,0,0,139.14,0,0,0,1.96,0,0,19.6,0,0,19.6,0,0,1.96,192.06,0,11.76,7.84,0,0,0,0,0,1.96,0,9.8,1.96,0,0,0
