stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,3,0,0,0,0,1,1,1,2,0,14,0,0,0,0,0
 24-34,0,1.64,0,1.64,0,4.93,0,0,0,4.1,3.28,0.82,0,0.82,0,0.82,0,0,0,39.4,6.57,7.39,9.03,0,0.82,0,0,0,0.82,64.03,0,0,0,0,0
 36-46,0,0.81,0.81,2.42,0,46.73,0,0,0,31.42,0.81,0,0,0.81,0,0,0.81,0,0,62.84,5.64,15.31,11.28,0,0,0,0,2.42,0,69.29,0,0,0,0,0
 48-58,0,0.57,0.57,1.15,0,251.9,0,0,0.57,29.84,0,3.44,0,0,0,0.57,1.15,0,0,61.97,1.72,9.18,8.61,0,0.57,0,0,1.15,0,57.38,0,0,0,0,1.15
 60-70,0,0.98,0,0,0.98,540.82,0,0,0,14.72,0,1.96,0,0,0.98,0,1.96,1.96,0,96.19,4.91,5.89,13.74,0,0,0,0,0.98,0,43.19,0,0,0.98,0,0
 72-82,0,5.89,0,3.93,0,285.66,0.98,0,0,27.49,8.83,0.98,0,0,2.94,0,2.94,0,0,113.87,2.94,25.52,26.5,0,0,0,0,0.98,0,33.38,0,0,0,0,0.98
 84-94,0,3.19,1.06,4.25,0,259.14,0,1.06,1.06,23.36,3.19,3.19,0,1.06,3.19,0,8.5,0,2.12,46.73,2.12,9.56,21.24,0,1.06,0,0,0,0,24.43,2.12,0,1.06,1.06,1.06
 96-106,0,0,0,4.37,0,153,0,0,0,13.11,4.37,0,1.09,0,3.28,1.09,4.37,0,1.09,59.01,1.09,21.86,32.79,0,3.28,0,0,0,0,27.32,6.56,0,0,1.09,0
108-118,0,4.6,0,0,0.77,114.89,0,1.53,0,13.79,2.3,0,0,0,3.83,0,7.66,0,0.77,72.77,3.06,13.02,30.64,0,2.3,0,0,0.77,0,11.49,10.72,0,0.77,0,0
120,0,0,0,9.8,0,94.07,0,0,0,11.76,3.92,0,0,3.92,5.88,0,3.92,0,0,84.27,3.92,13.72,31.36,0,0,0,0,5.88,0,19.6,5.88,1.96,0,0,0
