stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,8,0,0,0,1,1,0,1,5,0,0,0,0,0
 24-34,0,0.82,0,0.82,2.46,0,0,0,0.82,0,0.82,0,0.82,0,0,0,0,0.82,0,0,22.98,0,1.64,0,2.46,0,0,0,5.75,0,0,1.64,0,0
 36-46,0,0,0,0,2.42,0,0.81,0.81,0,0,0,0,0,0,0,0,0,1.61,0,0.81,19.34,0,0,0,3.22,0,0,0,6.45,0,0,1.61,0,0
 48-58,0,0,0.57,0,5.16,0,0,0,0.57,0,0,0.57,0,0,0,0.57,0,2.3,0.57,0,8.61,0,1.15,0,0.57,0,0,0,4.02,0,0,0,0,0
 60-70,0,0,0.98,0,3.93,0,0,0,1.96,0,0,0.98,0,0,0,0,0,1.96,0.98,0,0.98,0,1.96,0.98,1.96,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,1.96,0.98,11.78,0,0,0.98,6.87,0.98,0,0.98,0,0,0,0,0.98,2.94,0,0,17.67,0,2.94,1.96,0,0,0,0,0.98,0,0,0,1.96,0
 84-94,2.12,0,1.06,2.12,0,0,0,0,3.19,0,0,2.12,0,1.06,0,0,0,1.06,0,0,5.31,0,1.06,0,2.12,0,1.06,0,0,0,0,1.06,1.06,0
 96-106,0,0,3.28,0,5.46,0,0,0,2.19,0,0,1.09,1.09,0,1.09,0,0,2.19,0,0,7.65,0,4.37,1.09,7.65,0,0,0,1.09,0,0,1.09,0,0
108-118,0,0,3.83,0.77,2.3,0.77,0.77,0,4.6,0.77,0.77,0.77,0,0.77,0,0,0,0.77,0,0.77,9.19,0.77,4.6,0.77,2.3,0,0,0,0.77,0.77,0.77,0.77,0,0.77
120,0,0,1.96,0,0,0,0,0,5.88,1.96,0,0,0,1.96,0,0,0,1.96,0,1.96,1.96,0,1.96,0,3.92,0,0,0,0,0,0,1.96,0,0
