stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,gut,heart,ionocyte,lateral_line,muscle,neural,notochord,otic,periderm,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,0.82,0,0.82,0.82,0,2.46,0,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,0,0,0,5.74,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,9.82,0,0,0.98,0,0
 84-94,0,0,0,2.12,0,2.12,1.06,0,0,0,6.37,0,0,0,0,0
 96-106,0,0,0,2.19,1.09,1.09,0,0,0,0,7.65,0,0,2.19,0,0
108-118,0,0,0,2.3,0,2.3,0,0,0,0,8.43,0,0,1.53,0.77,0.77
120,0,0,0,0,0,0,0,0,1.96,0,9.8,0,0,0,0,0
