stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,1,11,2,0,0,0,0,3,1,0,0,12,32,0,0,0,0,1
 24-34,0,1.64,0,1.64,0,1.64,0,0.82,1.64,0,0,0.82,0,0,0,0,0,0,10.67,0,0,4.1,83.73,0,8.21,0,0,0,36.12,0,0,0,0,73.06,0,0,0,0,0
 36-46,0,0,0,0.81,0,6.45,0,4.03,0,0,0,0,0,0,0,0.81,0,0,24.98,0,0,0.81,157.91,0.81,6.45,1.61,0,0,32.23,0,0,0.81,0,89.43,0,0,0,0,0.81
 48-58,0,0,0,1.72,0,36.15,0,6.31,6.31,0,0,0.57,0,0.57,0,0,0,0,43.61,0,0,4.59,153.21,0,8.03,1.15,0,0,20.08,0,0,1.15,0,36.15,0,0,0,0,0
 60-70,0,0,0,1.96,0,139.38,0,12.76,2.94,0.98,0,0.98,0.98,1.96,0.98,1.96,0,0.98,85.39,0,0,3.93,232.62,0,4.91,1.96,0,0,22.58,0,0,1.96,0,29.45,0,2.94,0.98,0,0.98
 72-82,0,2.94,0,2.94,0.98,248.36,0.98,22.58,9.82,0,0,0,2.94,1.96,0,4.91,0,0,128.6,0,3.93,5.89,325.91,0,9.82,5.89,0,0,12.76,0,0,0,0,27.49,0.98,0,0.98,0,0
 84-94,0,0,0,11.68,0,174.17,1.06,19.12,9.56,2.12,0,0,2.12,5.31,3.19,1.06,0,0,80.71,1.06,1.06,2.12,201.79,0,28.68,5.31,0,2.12,57.35,0,0,0,0,18.05,4.25,0,0,1.06,0
 96-106,0,1.09,0,8.74,1.09,203.27,1.09,10.93,19.67,1.09,0,0,9.84,2.19,0,7.65,1.09,1.09,100.54,0,1.09,2.19,222.94,0,46.99,7.65,1.09,3.28,66.66,0,0,2.19,0,5.46,5.46,2.19,5.46,1.09,0
108-118,0,1.53,0.77,10.72,0,130.21,1.53,17.62,18.38,1.53,0,0.77,7.66,2.3,4.6,6.89,1.53,0,85.79,0.77,2.3,5.36,186.13,0,31.4,5.36,0,2.3,38.3,0,0,1.53,0,7.66,6.89,0.77,0,0,0
120,0,0,0,11.76,0,84.27,3.92,17.64,29.4,0,0,0,15.68,0,0,5.88,0,0,76.43,0,0,5.88,225.38,0,25.48,1.96,0,5.88,21.56,0,1.96,0,0,15.68,1.96,0,1.96,3.92,0
