stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,81,0,0,5,0,0,0,2,1,0,0,3,0,0,0,0,4,0,0,1,110,2,2,4,2,0,0,2,0,0,2,29,0,0,0,0,0
 24-34,0,0.82,4.1,62.39,0.82,0,11.49,0,17.24,0,6.57,0.82,0,0,2.46,0,4.93,2.46,0,15.6,1.64,0,4.1,438.34,9.03,4.93,14.78,0,0.82,0.82,0,2.46,0,0.82,102.61,0,0,0,0,0
 36-46,0,3.22,0.81,30.62,0,0,11.28,0,22.56,0,16.92,0.81,0,0,0,0,8.06,0,0,15.31,0,0,4.03,422.98,8.06,4.03,8.06,0,0.81,0,0,0,0,0,111.99,0,0,0.81,0,0
 48-58,0,1.15,0,45.33,0,0,29.26,0,15.49,2.3,26.4,0,0.57,0,0,0,3.44,3.44,0.57,48.77,0.57,0.57,6.31,313.87,23.53,1.72,10.33,0,0.57,0,0,1.15,0.57,0,93.53,0,0,0,0,0
 60-70,0,0,0,56.93,0,0,25.52,0,20.61,1.96,26.5,0,0,0,0.98,0,2.94,0.98,0,71.65,0,0,8.83,258.14,16.69,0,7.85,0,0.98,0,0,0.98,0,0,48.09,2.94,0,0.98,0,0
 72-82,0,2.94,0,46.14,2.94,0,24.54,0,21.6,4.91,48.1,0.98,0,0.98,0.98,0,2.94,6.87,0,123.69,0,0.98,7.85,187.5,5.89,1.96,8.83,0,1.96,0,0,0.98,0,0,28.47,0.98,0,2.94,0,0.98
 84-94,0,4.25,0,88.15,0,0,25.49,0,18.05,1.06,26.55,1.06,1.06,0,2.12,0,2.12,46.73,0,79.65,1.06,0,2.12,93.46,24.43,2.12,12.74,0,2.12,0,0,1.06,0,0,20.18,3.19,0,3.19,0,0
 96-106,0,4.37,0,79.78,0,0,24.04,1.09,16.39,2.19,25.14,5.46,0,0,1.09,2.19,0,39.34,0,85.24,0,2.19,5.46,86.33,4.37,1.09,10.93,0,3.28,0,0,0,0,0,9.84,2.19,0,2.19,0,0
108-118,0,3.83,1.53,66.64,0,2.3,16.09,1.53,22.21,2.3,15.32,2.3,0,0.77,1.53,0,0.77,144.77,0,79.66,0.77,1.53,2.3,64.34,5.36,2.3,10.72,0,0.77,0,0,0.77,0,0,11.49,0.77,0,0,0,0
120,0,5.88,0,66.63,1.96,0,17.64,0,23.52,1.96,13.72,0,0,1.96,1.96,0,0,119.55,0,88.19,0,3.92,5.88,64.67,1.96,1.96,9.8,0,0,0,0,0,0,0,15.68,3.92,3.92,5.88,1.96,0
