stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,5,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0.82,0,0,0,0,0,4.1,0,1.64,0,4.93,0,0,0.82,0.82,0,0
 36-46,0,0.81,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,8.06,0,0.81,0.81,4.03,0,0,0,0.81,0.81,0
 48-58,0,0,0,0,3.44,0,0,0.57,0,0,0,0.57,0,1.15,0.57,3.44,0,0,0,4.59,0,0.57,0,2.3,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,1.96,0.98,3.93,0.98,3.93,0,0,0,0,0,0
 72-82,0,0.98,0.98,0,0,0,0,0,0,0,0,1.96,0,0.98,0.98,0.98,0,3.93,0.98,6.87,0,0.98,0,1.96,0,0
 84-94,1.06,8.5,0,0,1.06,0,2.12,0,0,0,0,0,0,0,1.06,3.19,0,3.19,1.06,32.92,0,1.06,0,0,0,1.06
 96-106,0,9.84,2.19,2.19,1.09,0,0,1.09,3.28,0,0,3.28,1.09,1.09,1.09,3.28,0,4.37,3.28,32.79,0,0,0,0,0,0
108-118,0,13.02,0,0.77,0.77,0,2.3,0.77,1.53,0,0.77,3.06,0,1.53,0,3.06,0,3.06,0.77,26.04,0,0,0,0,0,0
120,0,21.56,0,0,1.96,1.96,3.92,0,1.96,1.96,0,1.96,0,1.96,0,5.88,0,1.96,0,43.12,0,1.96,0,0,0,0
