stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0.82,0,0,0.82,0,0,18.06,0.82,0.82,0,0,8.21,0,0.82,0
 36-46,0,0,4.83,0,0,0,0,0,0,0,0,0,0,20.14,0,0,0,6.45,5.64,0,0.81,0
 48-58,0,0.57,1.15,0,0,0,0,0,0,0,1.15,0.57,0,9.75,0,0,0,2.87,2.3,0,0.57,0
 60-70,0,0,2.94,0,0.98,0,0,0,0,0,1.96,0,0,10.8,0,0.98,0,6.87,0.98,0,0.98,0
 72-82,0,1.96,4.91,0,4.91,0,0,0,0.98,0,6.87,1.96,0,18.65,0,0,0,10.8,2.94,0,0.98,0
 84-94,0,6.37,5.31,2.12,2.12,0,4.25,0,0,0,3.19,0,0,10.62,0,3.19,0,49.92,2.12,0,1.06,1.06
 96-106,0,9.84,3.28,1.09,0,2.19,4.37,3.28,0,0,6.56,1.09,0,6.56,0,1.09,0,33.88,0,0,1.09,0
108-118,0,5.36,3.06,2.3,1.53,0.77,6.13,2.3,0.77,1.53,4.6,0,0,7.66,0.77,1.53,0,24.51,0,0.77,0,0
120,0,5.88,3.92,3.92,1.96,0,5.88,3.92,0,0,0,0,1.96,11.76,0,0,0,48.99,0,0,0,0
