stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,737.96,2569.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,1140.11,2764.47,42.91,0,0,0,0,0,0,0,0,0,73.56,0,0,0,0,0,0,0,0,0,0,0,625.22,67.43,0,0,245.19,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,412.71,65.72,123.55,0,0,0,21.03,0,0,0,0,0,165.61,0,0,0,0,0,0,0,0,0,0,0,310.19,231.33,0,0,2607.68,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,62.94,0,6.29,0,25.18,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,254.9,34.62,0,0,173.08,0,0,0,0,12.59,0,6.29,0,0,0,0,0
 14-21,0,0,18,302,34,0,564,0,0,0,44,3,0,0,0,0,1,2,0,0,90,0,0,298,901,7,0,13,3,0,3,0,55,2,0,240,339,0,0,0,0
 24-34,0,0.82,9.85,63.21,2.46,0,389.91,0,0,0,58.28,1.64,1.64,0,0,2.46,0.82,8.21,1.64,0.82,166.63,0.82,0,389.91,595.12,16.42,4.93,4.1,0.82,0,7.39,0,3.28,0,0,15.6,511.39,0,6.57,0,0
 36-46,0,0,0,15.31,1.61,0,184.5,0,0,0.81,60.43,0,0,0,0.81,0,0,1.61,1.61,0.81,164.36,0.81,0.81,170.8,259.43,8.86,2.42,1.61,0,0,1.61,0,0,0,0.81,0.81,323.88,0,4.03,0,0
 48-58,0,0,0,15.49,0,0,125.09,0.57,0,1.15,63.69,0,0,1.15,0.57,0.57,0,0,0,0,88.94,0,0.57,80.33,137.14,11.48,0.57,0.57,0,0,0.57,0,0,0,0.57,0.57,86.07,0,1.15,0,0
 60-70,0,0,0,3.93,0,0,74.6,0,0.98,0,39.26,0,0,0,0,0,0.98,0.98,0,0,58.89,0,2.94,24.54,37.3,10.8,0,3.93,0,0,0,0,0,0,0,0,15.7,0.98,2.94,0.98,0.98
 72-82,0,0,0,4.91,0,0,76.57,0.98,0,0,53.99,0,0,0,0,0.98,0,0,0,0,36.32,0,1.96,15.71,36.32,17.67,0,9.82,0,0.98,0,0,0,0,0,0,7.85,2.94,5.89,1.96,0.98
 84-94,0,0,0,5.31,0,0,55.23,0,0,1.06,24.43,0,0,0,0,1.06,0,0,0,0,30.8,0,1.06,16.99,20.18,16.99,0,9.56,0,0,1.06,0,0,0,0,0,3.19,2.12,5.31,0,0
 96-106,0,0,0,1.09,0,1.09,54.64,0,2.19,1.09,38.25,1.09,0,0,0,1.09,0,0,1.09,0,32.79,0,3.28,6.56,27.32,27.32,3.28,21.86,0,0,1.09,0,0,0,1.09,0,3.28,2.19,6.56,1.09,0
108-118,0.77,0,0,3.83,0.77,0,59.75,2.3,0.77,0,40.6,4.6,0,0,0,0.77,0,0,0.77,0,31.4,0.77,3.06,9.96,26.81,29.87,3.06,29.11,0,0,0,0,0,0,0,0,2.3,1.53,2.3,0.77,0
120,0,0,0,5.88,0,0,23.52,1.96,0,0,47.03,5.88,0,0,0,1.96,0,1.96,0,0,15.68,0,3.92,5.88,15.68,31.36,0,21.56,0,0,0,0,0,0,0,0,0,1.96,3.92,3.92,0
